title,year,film_url,user_rating,annotation
Zu - Les Guerriers de la montagne magique,1983,https://www.senscritique.com/film/zu_les_guerriers_de_la_montagne_magique/391669,6/10,
In the Mood for Love,2000,https://www.senscritique.com/film/in_the_mood_for_love/398222,9/10,"Une ode à la beauté mélancolique, à la retenue et à l'amour inassouvi."
2046,2004,https://www.senscritique.com/film/2046/469599,8/10,"Je crois que je n'avais pas revu ""2046"" depuis sa sortie en Blu-ray en 2006 (la fameuse édition avec le boîtier métallique en relief)."
Top Gun: Maverick,2022,https://www.senscritique.com/film/top_gun_maverick/13370077,6/10,Revu le 27/05/2025.
La Gloire de mon père,1990,https://www.senscritique.com/film/la_gloire_de_mon_pere/399271,7/10,
À toute épreuve,1992,https://www.senscritique.com/film/a_toute_epreuve/446347,7/10,"Du sang, des larmes, du kitch et de la grâce !!"
True Grit,2010,https://www.senscritique.com/film/true_grit/406729,7/10,
Jamais sans mon psy,2024,https://www.senscritique.com/film/jamais_sans_mon_psy/60058282,5/10,Revu le 25/12/2025.
Le Comte de Monte-Cristo,2024,https://www.senscritique.com/film/le_comte_de_monte_cristo/43518594,7/10,Revu le 27/12/2025.
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
