title,year,film_url,user_rating,annotation
La vie est belle,1946,https://www.senscritique.com/film/la_vie_est_belle/434210,9/10,Revu le 02/01/2021.
Love Actually,2003,https://www.senscritique.com/film/love_actually/370362,8/10,Revu le 03/01/2021.
Il était temps,2013,https://www.senscritique.com/film/il_etait_temps/7938609,8/10,
Jugatsu,1990,https://www.senscritique.com/film/jugatsu/440100,7/10,"Un Kitano un peu oublié de sa filmographie, qui a peiné à se faire un nom entre parmi les chefs-d’œuvre du réalisateur de cette époque, que sont ""Violent Cop"", ""Sonatine"" et ""Hana-Bi""."
Kids Return,1996,https://www.senscritique.com/film/kids_return/391965,8/10,
Sonatine - Mélodie mortelle,1993,https://www.senscritique.com/film/sonatine_melodie_mortelle/432069,8/10,
Memento,2000,https://www.senscritique.com/film/memento/473176,7/10,
Quai d'Orsay,2013,https://www.senscritique.com/film/quai_d_orsay/8844541,7/10,
Insaisissables,2013,https://www.senscritique.com/film/insaisissables/482339,6/10,
Première année,2018,https://www.senscritique.com/film/premiere_annee/31787912,8/10,Revu le 21/02/2021.
Indiana Jones et la Dernière Croisade,1989,https://www.senscritique.com/film/indiana_jones_et_la_derniere_croisade/400170,8/10,
Indiana Jones et le Royaume du crâne de cristal,2008,https://www.senscritique.com/film/indiana_jones_et_le_royaume_du_crane_de_cristal/494225,5/10,
Palm Springs,2020,https://www.senscritique.com/film/palm_springs/40913191,7/10,Revu le 06/03/2021.
Pearl Harbor,2001,https://www.senscritique.com/film/pearl_harbor/373548,4/10,
Rocky,1976,https://www.senscritique.com/film/rocky/473182,8/10,
La Guerre des mondes,2005,https://www.senscritique.com/film/la_guerre_des_mondes/413003,5/10,"Sur la papier c'est ma came, mais force est de constater que ce film me laisse toujours sur ma faim 15 ans après sa sortie."
Violent Cop,1989,https://www.senscritique.com/film/violent_cop/477454,7/10,"Je n'avais pas revu ""Violent Cop"" depuis la sortie du DVD chez Studio Canal en 2001... Et je n'en avais plus aucun souvenir, si ce n'est que ce n'était pas mon Kitano préféré, trop aride, pas assez poétique au regard de ses chefs-d’œuvre à venir."
As Tears Go By,1988,https://www.senscritique.com/film/as_tears_go_by/482744,7/10,"Beaucoup plus intense que dans mes souvenirs. J'appréhendais un peu de redécouvrir ce premier WKW, pourtant on y trouve déjà tout ce qui fera son style en un peu plus brut."
Zatoichi,2003,https://www.senscritique.com/film/zatoichi/973278,7/10,
Yesterday,2019,https://www.senscritique.com/film/yesterday/32400063,7/10,Revu le 14/05/2021.
In the Mood for Love,2000,https://www.senscritique.com/film/in_the_mood_for_love/398222,9/10,Revu le 28/07/2021. Version restaurée 4K de 2020 en 35mm.
Le Cercle rouge,1970,https://www.senscritique.com/film/le_cercle_rouge/450089,8/10,
Die Hard 4 - Retour en enfer,2007,https://www.senscritique.com/film/die_hard_4_retour_en_enfer/381782,6/10,
J'accuse,2019,https://www.senscritique.com/film/j_accuse/10645408,8/10,Revu le 24/12/2021.
Les Dix Commandements,1956,https://www.senscritique.com/film/les_dix_commandements/399477,9/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
