title,year,film_url,user_rating,annotation
Kaamelott - Premier Volet,2021,https://www.senscritique.com/film/kaamelott_premier_volet/17954661,7/10,Revu le 01/01/2022.
Quatre garçons pleins d'avenir,1997,https://www.senscritique.com/film/quatre_garcons_pleins_d_avenir/485059,6/10,Film pas revu depuis 13 ou 14 ans et force est de constater qu'il reste très drôle et efficace.
Les Beaux Gosses,2009,https://www.senscritique.com/film/les_beaux_gosses/369342,8/10,Un film d'une justesse infinie sur cet âge ingrat qu'on appelle l'adolescence :-)
#JeSuisLà,2020,https://www.senscritique.com/film/jesuisla/36534648,7/10,Revu le 05/01/2022.
Zero Dark Thirty,2012,https://www.senscritique.com/film/zero_dark_thirty/488513,8/10,
Infernal Affairs,2002,https://www.senscritique.com/film/infernal_affairs/461104,8/10,
L'Opération Corned Beef,1991,https://www.senscritique.com/film/l_operation_corned_beef/411569,6/10,
Deux moi,2019,https://www.senscritique.com/film/deux_moi/37754217,6/10,Revu le 27/03/2022.
Die Hard 4 - Retour en enfer,2007,https://www.senscritique.com/film/die_hard_4_retour_en_enfer/381782,6/10,Revu le 28/03/2022.
Top Gun,1986,https://www.senscritique.com/film/top_gun/439638,7/10,
Vilaine,2008,https://www.senscritique.com/film/vilaine/379598,5/10,
Le Goût des autres,2000,https://www.senscritique.com/film/le_gout_des_autres/466829,8/10,
Un poisson nommé Wanda,1988,https://www.senscritique.com/film/un_poisson_nomme_wanda/402763,7/10,
Predators,2010,https://www.senscritique.com/film/predators/408345,4/10,
As Tears Go By,1988,https://www.senscritique.com/film/as_tears_go_by/482744,7/10,Revu le 10/08/2022.
10 bonnes raisons de te larguer,1999,https://www.senscritique.com/film/10_bonnes_raisons_de_te_larguer/419414,5/10,
Pretty Woman,1990,https://www.senscritique.com/film/pretty_woman/1350121,7/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
