title,year,film_url,user_rating,annotation
Le Diable s'habille en Prada,2006,https://www.senscritique.com/film/le_diable_s_habille_en_prada/373729,6/10,
Batman v Superman - L'Aube de la Justice,2016,https://www.senscritique.com/film/batman_v_superman_l_aube_de_la_justice/8863802,7/10,Revu le 07/01/2017.
Le Prénom,2012,https://www.senscritique.com/film/le_prenom/365246,8/10,
Jumper,2008,https://www.senscritique.com/film/jumper/381946,6/10,
Fastlife,2014,https://www.senscritique.com/film/fastlife/10651680,6/10,Revu le 16/02/2017.
Elysium,2013,https://www.senscritique.com/film/elysium/384243,5/10,
Homefront,2013,https://www.senscritique.com/film/homefront/8465330,6/10,
Cartel,2013,https://www.senscritique.com/film/cartel/470171,4/10,
Wolverine - Le combat de l'immortel,2013,https://www.senscritique.com/film/wolverine_le_combat_de_l_immortel/436540,4/10,
Little Buddha,1993,https://www.senscritique.com/film/little_buddha/488064,7/10,
L'Enfer du dimanche,1999,https://www.senscritique.com/film/l_enfer_du_dimanche/402493,8/10,
Looper,2012,https://www.senscritique.com/film/looper/424528,7/10,
Alien³,1992,https://www.senscritique.com/film/alien3/468198,6/10,
Paul,2011,https://www.senscritique.com/film/paul/388761,5/10,
Event Horizon - Le Vaisseau de l'au-delà,1997,https://www.senscritique.com/film/event_horizon_le_vaisseau_de_l_au_dela/1057046,4/10,
Highlander,1986,https://www.senscritique.com/film/highlander/484765,8/10,
Limitless,2011,https://www.senscritique.com/film/limitless/470405,7/10,
Échange standard,2011,https://www.senscritique.com/film/echange_standard/427010,4/10,
Brice 3,2016,https://www.senscritique.com/film/brice_3/12808929,5/10,Revu le 03/12/2017.
La La Land,2016,https://www.senscritique.com/film/la_la_land/11913569,8/10,Revu le 08/12/2017.
Outrage,2010,https://www.senscritique.com/film/outrage/402255,7/10,
L'Incroyable Destin de Harold Crick,2006,https://www.senscritique.com/film/l_incroyable_destin_de_harold_crick/425141,6/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
