title,year,film_url,user_rating,annotation
Volontaire,2018,https://www.senscritique.com/film/volontaire/32115004,4/10,Le 26/01.
Le Flic de Beverly Hills,1984,https://www.senscritique.com/film/le_flic_de_beverly_hills/459598,7/10,
Le Redoutable,2017,https://www.senscritique.com/film/le_redoutable/21062684,6/10,Revu le 15/03/2019.
Au revoir là-haut,2017,https://www.senscritique.com/film/au_revoir_la_haut/12648863,6/10,Revu le 16/03/2019.
"Crazy, Stupid, Love",2011,https://www.senscritique.com/film/crazy_stupid_love/493387,8/10,Revu le 23/03/2019.
Le Monde Perdu - Jurassic Park,1997,https://www.senscritique.com/film/le_monde_perdu_jurassic_park/421437,7/10,
Bird Box,2018,https://www.senscritique.com/film/bird_box/30166826,6/10,Revu le 23/03/2019.
La Délicatesse,2011,https://www.senscritique.com/film/la_delicatesse/361529,8/10,
Camping,2006,https://www.senscritique.com/film/camping/365631,5/10,
Un fauteuil pour deux,1983,https://www.senscritique.com/film/un_fauteuil_pour_deux/445235,7/10,Revu le 12/04/2019.
Match Point,2005,https://www.senscritique.com/film/match_point/430076,8/10,
L'Évadé d'Alcatraz,1979,https://www.senscritique.com/film/l_evade_d_alcatraz/398672,8/10,
La Vérité si je mens ! 2,2001,https://www.senscritique.com/film/la_verite_si_je_mens_2/397603,5/10,
L'Enquête corse,2004,https://www.senscritique.com/film/l_enquete_corse/469767,6/10,
À bout portant,2010,https://www.senscritique.com/film/a_bout_portant/494117,6/10,
Épouse-moi mon pote,2017,https://www.senscritique.com/film/epouse_moi_mon_pote/22257740,5/10,Revu le 30/07/2019.
John Wick,2014,https://www.senscritique.com/film/john_wick/11989542,5/10,Revu le 28/09/2019.
Crazy Rich Asians,2018,https://www.senscritique.com/film/crazy_rich_asians/28453981,7/10,Revu le 02/11/2019.
"Sans Sarah, rien ne va !",2008,https://www.senscritique.com/film/sans_sarah_rien_ne_va/456936,7/10,
The Holiday,2006,https://www.senscritique.com/film/the_holiday/471529,6/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
