Title;Year;Directors;Rating10;WatchedDate
Eurovision Song Contest: The Story of Fire Saga;2020;David Dobkin;5;06/03/2021
Bliss;2021;Mike Cahill;4;05/03/2021
Coming 2 America;2021;Craig Brewer;4;05/03/2021
I Care a Lot;2021;J Blakeson;6;04/03/2021
Indiana Jones and the Kingdom of the Crystal Skull;2008;Steven Spielberg;5;04/03/2021
Indiana Jones and the Temple of Doom;1984;Steven Spielberg;#NOMBRE!;01/01/1970
Indiana Jones and the Last Crusade;1989;Steven Spielberg;8;02/03/2021
Mary Reilly;1996;Stephen Frears;5;22/02/2021
Sorry Wrong Number;1948;Anatole Litvak;7;22/02/2021
Première année;2018;Thomas Lilti;8;25/09/2018
Now You See Me;2013;Louis Leterrier;6;02/02/2016
Quai d'Orsay;2013;Bertrand Tavernier;7;05/02/2021
Waiting for the Barbarians;2020;Ciro Guerra;7;29/01/2021
The Midnight Sky;2020;George Clooney;4;27/12/2020
Insomnia;2002;Christopher Nolan;6;18/12/2020
Memento;2000;Christopher Nolan;7;30/01/2021
Wonder Woman 1984;2020;Patty Jenkins;4;13/01/2021
Autoreiji: Biyondo;2012;Takeshi Kitano;7;25/01/2021
Hok hau fung wan;1988;Ringo Lam Raymond Lee Wai-Man Joe Chu Kai-Sang;7;29/01/2021
Sonatine;1993;Takeshi Kitano;8;29/01/2021
Kizzu ritân;1996;Takeshi Kitano;8;25/01/2021
Play;2020;Anthony Marciano;5;22/01/2021
Jugatsu;1990;Takeshi Kitano;7;22/01/2021
Les Rois mages;2001;Didier Bourdon Bernard Campan;6;28/12/2020
Before I Fall;2017;Ry Russo-Young;5;15/01/2021
Let Me In;2010;Matt Reeves;#NOMBRE!;01/01/1970
The Hound of the Baskervilles;1959;Terence Fisher;#NOMBRE!;01/01/1970
Panic in Year Zero!;1962;Ray Milland;6;11/01/2021
Énorme;2020;Sophie Letourneur;7;09/01/2021
It Happened One Night;1934;Frank Capra;7;05/01/2021
Rebecca;2020;Ben Wheatley;5;04/01/2021
About Time;2013;Richard Curtis;8;03/01/2021
Love Actually;2003;Richard Curtis;8;01/01/1970
It's a Wonderful Life;1946;Frank Capra;9;31/12/2015
John Was Trying to Contact Aliens;2020;Matthew Killip;5;24/12/2020
The Aristocats;1970;Wolfgang Reitherman;7;23/12/2020
Tenet;2020;Christopher Nolan;8;29/09/2020
L'As des as;1982;Gérard Oury;6;21/12/2020
Following;1999;Christopher Nolan;6;20/12/2020
The Greatest Showman;2017;Michael Gracey;7;17/12/2020
Star Wars: The Rise of Skywalker;2019;J.J. Abrams;5;16/12/2020
Star Wars;1977;George Lucas;8;15/12/2020
Robin Hood: Prince of Thieves;1991;Kevin Reynolds;6;13/12/2020
Witness;1985;Peter Weir;7;12/12/2020
Jumanji: The Next Level;2019;Jake Kasdan;6;10/12/2020
La Fille au bracelet;2020;Stéphane Demoustier;7;10/12/2020
La Nuit venue;2020;Frédéric Farrucci;7;10/12/2020
The Man Who Wasn't There;2001;Joel Coen Ethan Coen;#NOMBRE!;01/01/1970
Intolerable Cruelty;2003;Joel Coen Ethan Coen;#NOMBRE!;01/01/1970
The Bodyguard;1992;Mick Jackson;6;06/12/2020
Happiest Season;2020;Clea DuVall;6;05/12/2020
Greenland;2020;Ric Roman Waugh;6;27/11/2020
Primer;2004;Shane Carruth;7;30/11/2020
Dreamcatcher;2003;Lawrence Kasdan;4;21/11/2020
Tout simplement noir;2020;Jean-Pascal Zadi John Wax;5;21/11/2020
Blackhat;2015;Michael Mann;6;17/11/2020
Connectés;2020;Romuald Boulanger;4;13/11/2020
Shazam!;2019;David F. Sandberg;6;16/11/2020
Avis de mistral;2014;Rose Bosch;5;11/05/2019
Gongjak;2018;Yoon Jong-Bin;7;02/11/2020
Terminator : Dark Fate;2019;Tim Miller;5;04/11/2020
On the Rocks;2020;Sofia Coppola;5;08/11/2020
Dr. No;1962;Terence Young;6;01/11/2020
Bando;2020;Yeon Sang-Ho;5;31/10/2020
Ryûzô to 7 nin no kobun tachi;2015;Takeshi Kitano;6;01/11/2020
Murder on the Orient Express;2017;Kenneth Branagh;4;25/10/2020
Yuke yuke nidome no shojo;1969;Kôji Wakamatsu;#NOMBRE!;01/01/1970
Portrait de la jeune fille en feu;2019;Céline Sciamma;6;19/09/2020
Brutus vs. César;2020;Kheiron;4;18/09/2020
Mignonnes;2020;Maïmouna Doucouré;8;11/09/2020
Naam yi boon sik;2007;Benny Chan;6;01/01/1970
Les Traducteurs;2019;Régis Roinsard;6;26/08/2020
King Guillaume;2009;Pierre-François Martin-Laval;5;06/08/2020
Akira;1988;Katsuhiro Ôtomo;9;25/08/2020
De Gaulle;2020;Gabriel Le Bomin;4;21/08/2020
Sibyl;2019;Justine Triet;5;17/08/2020
Hatsukoi;2019;Takashi Miike;7;07/06/2020
The Call of the Wild;2020;Chris Sanders;5;13/05/2020
The Gentlemen;2020;Guy Ritchie;6;10/05/2020
Tout là-haut;2017;Serge Hazanavicius;4;08/08/2020
The Invisible Man;2020;Leigh Whannell;6;05/07/2020
'A' gai wak 2;1987;Jackie Chan Chen Chi-Hwa;6;02/07/2020
Bak fat moh lui zyun;1993;Ronny Yu;7;23/06/2020
'A' gai wak;1983;Jackie Chan;7;21/06/2020
Crying Freeman;1995;Christophe Gans;#NOMBRE!;01/01/1970
Get Out;2017;Jordan Peele;7;21/05/2017
Shin Gojira;2016;Hideaki Anno Shinji Higuchi;7;06/06/2020
Mei ren yu;2016;Stephen Chow Wilson Chin Lam Tze-Chung Lu Zhengyu;6;08/06/2020
Coyote Ugly;2000;David McNally;4;01/06/2020
Ai no korîda;1976;Nagisa ?shima;7;31/05/2020
Snowden;2016;Oliver Stone;7;17/12/2016
Chui shao ren;2019;Xu? Xi?o-Lù;4;20/05/2020
El hoyo;2019;Galder Gaztelu-Urrutia;6;17/05/2020
Le Cœur des hommes 2;2007;Marc Esposito;5;13/05/2020
Togo;2019;Ericson Core;6;12/05/2020
Meet the Fockers;2004;Jay Roach;5;11/05/2020
Escape Plan;2013;Mikael Håfström;4;11/05/2020
Midway;2019;Roland Emmerich;3;09/05/2020
Shinjitsu;2019;Hirokazu Kore-eda;6;08/05/2020
Les Misérables;1982;Robert Hossein;6;04/05/2020
Jojo Rabbit;2019;Taika Waititi;7;02/05/2020
Knives Out;2019;Rian Johnson;6;01/05/2020
Les Misérables;1958;Jean-Paul Le Chanois;7;28/04/2020
Forte;2020;Katia Lewkowicz;5;17/04/2020
Le Mystère Henri Pick;2019;Rémi Bezançon;6;18/04/2020
A Simple Favor;2018;Paul Feig;6;18/04/2020
Premières Vacances;2019;Patrick Cassir;6;16/04/2020
Nanfang chezhan de juhuì;2019;Diao Yi'nan;7;15/04/2020
It Comes at Night;2017;Trey Edward Shults;4;13/04/2020
La nuit a dévoré le monde;2018;Dominique Rocher;5;12/04/2020
The Hunt;2020;Craig Zobel;5;12/04/2020
Chung Wah Sin San;2019;Wilson Yip;6;01/01/1970
Gamgi;2013;Kim Sung-Su;5;08/04/2020
Vivarium;2020;Lorcan Finnegan;7;05/04/2020
The Way Back;2020;Gavin O'Connor;5;04/04/2020
Chung fung dui ji no foh gaai tau;1996;Benny Chan;#NOMBRE!;01/01/1970
The Call of Cthulhu;2005;Andrew Leman;#NOMBRE!;01/01/1970
Tel Mi Sseomding;1999;Chang Yoon-Hyun;#NOMBRE!;01/01/1970
Color Out of Space;2020;Richard Stanley;6;30/03/2020
Peppermint;2018;Pierre Morel;4;28/03/2020
Underwater;2020;William Eubank;5;28/03/2020
Lethal Weapon 3;1992;Richard Donner;7;26/03/2020
Die Hard with a Vengeance;1995;John McTiernan;8;23/03/2020
Vice;2018;Adam McKay;5;20/03/2020
Horrible Bosses 2;2014;Sean Anders;6;21/03/2020
Pandora;2016;Park Jung-Woo;5;18/03/2020
Alice et le Maire;2019;Nicolas Pariser;6;18/03/2020
Yip Man 3;2015;Wilson Yip;6;10/03/2020
Pacific Rim: Uprising;2018;Steven S. DeKnight;3;09/03/2020
Dark Waters;2019;Todd Haynes;6;08/03/2020
Richard Jewell;2019;Clint Eastwood;7;07/03/2020
Godzilla: King of the Monsters;2019;Michael Dougherty;3;03/03/2020
Kong: Skull Island;2017;Jordan Vogt-Roberts;5;25/06/2017
1917;2019;Sam Mendes;8;20/02/2020
Yeopgijeogin geunyeo;2001;Kwak Jae-Yong;8;15/02/2020
OSS 117 - Rio ne répond plus...;2009;Michel Hazanavicius;#NOMBRE!;11/02/2020
OSS 117 - Le Caire nid d'espions;2006;Michel Hazanavicius;8;20/09/2016
Last Christmas;2019;Paul Feig;6;25/01/2020
Horrible Bosses;2011;Seth Gordon;6;25/01/2020
Edge of Tomorrow;2014;Doug Liman;7;20/01/2020
Oblivion;2013;Joseph Kosinski;6;20/01/2020
Les Tontons flingueurs;1963;Georges Lautner;7;05/01/2020
Un bonheur n'arrive jamais seul;2012;James Huth;4;06/01/2020
Hors de prix;2006;Pierre Salvadori;6;06/01/2020
Le Pari;1997;Didier Bourdon Bernard Campan;5;07/01/2020
Zombieland: Double Tap;2019;Ruben Fleischer;4;09/01/2020
The Apartment;1960;Billy Wilder;7;11/01/2020
It Chapter Two;2019;Andy Muschietti;5;08/01/2020
Tigerland;2000;Joel Schumacher;#NOMBRE!;01/01/1970
Universal Soldier;1992;Roland Emmerich;#NOMBRE!;01/01/1970
Timecop;1994;Peter Hyams;#NOMBRE!;01/01/1970
The Holiday;2006;Nancy Meyers;6;08/12/2019
Trading Places;1983;John Landis;7;23/12/2018
The Night Before;2015;Jonathan Levine;6;23/02/2016
Tôkyô Goddofâzâzu;2003;Satoshi Kon Shôgo Furuya;#NOMBRE!;01/01/1970
Santa & Cie;2017;Alain Chabat;9;01/01/2019
Je voudrais que quelqu'un m'attende quelque part;2020;Arnaud Viard;5;26/11/2019
Kung Fu Panda;2008;Mark Osborne John Stevenson;4;13/11/2019
Joker;2019;Todd Phillips;6;15/11/2019
Tanguy le retour;2019;Étienne Chatiliez;5;11/11/2019
Unstoppable;2010;Tony Scott;5;12/11/2019
James and the Giant Peach;1996;Henry Selick;6;14/11/2019
Forgetting Sarah Marshall;2008;Nicholas Stoller;7;05/11/2019
Crazy Rich Asians;2018;Jon M. Chu;7;11/11/2018
Midsommar;2019;Ari Aster;6;04/11/2019
Dark Phoenix;2019;Simon Kinberg;3;12/10/2019
Huo Yuanjia;2006;Ronny Yu;#NOMBRE!;01/01/1970
Chi bi;2008;John Woo;#NOMBRE!;01/01/1970
Chi bi: Jue zhan tian xia;2009;John Woo;#NOMBRE!;01/01/1970
Ad Astra;2019;James Gray;7;08/10/2019
American Pastoral;2016;Ewan McGregor;5;05/10/2019
Spider-Man: Far From Home;2019;Jon Watts;5;15/09/2019
Once Upon a Time... in Hollywood;2019;Quentin Tarantino;7;01/10/2019
John Wick;2014;Chad Stahelski David Leitch;5;13/08/2017
Le Chant du loup;2019;Antonin Baudry (Abel Lanzac);7;21/09/2019
Spider-Man: Homecoming;2017;Jon Watts;3;29/08/2019
On the Beach;1959;Stanley Kramer;7;21/08/2019
All the Money in the World;2017;Ridley Scott;6;18/08/2019
Burn After Reading;2008;Joel Coen Ethan Coen;6;10/08/2019
Brightburn;2019;David Yarovesky;5;10/08/2019
Always Be My Maybe;2019;Nahnatchka Khan;4;09/08/2019
Blue Jasmine;2013;Woody Allen;6;06/08/2019
Regression;2015;Alejandro Amenábar;4;05/08/2019
The Sea of Trees;2016;Gus Van Sant;7;04/08/2019
Searching;2018;Aneesh Chaganty;6;03/08/2019
Chao shi kong tong ju;2018;Su Lun;5;03/08/2019
Un homme idéal;2015;Yann Gozlan;6;02/08/2019
Gao hai ba zhi lian II;2012;Johnnie To;5;03/08/2019
Edmond;2019;Alexis Michalik;7;01/08/2019
À bout portant;2010;Fred Cavayé;6;01/01/1970
Épouse-moi mon pote;2017;Tarek Boudali;5;11/03/2018
Murder Mystery;2019;Kyle Newacheck;4;31/07/2019
Spies Like Us;1985;John Landis;5;30/07/2019
Captain Marvel;2019;Anna Boden Ryan Fleck;4;24/07/2019
Apollo 13;1995;Ron Howard;6;24/07/2019
Long Shot;2019;Jonathan Levine;5;23/07/2019
Tolkien;2019;Dome Karukoski;6;23/07/2019
Ying;2018;Zh?ng Yì-Móu;5;21/07/2019
Noruwei no mori;2011;Tr?n Anh Hùng;6;20/07/2019
Alita: Battle Angel;2019;Robert Rodriguez;6;09/07/2019
Nicky Larson et le Parfum de Cupidon;2019;Philippe Lacheau;3;08/07/2019
Qu'est-ce qu'on a encore fait au Bon Dieu ?;2019;Philippe de Chauveron;2;06/07/2019
Des lendemains qui chantent;2014;Nicolas Castro;5;31/05/2019
Astérix - Le Secret de la potion magique;2018;Louis Clichy Alexandre Astier;7;06/07/2019
Alceste à bicyclette;2013;Philippe Le Guay;7;30/06/2019
On a retrouvé la 7ème compagnie;1975;Robert Lamoureux;6;26/05/2019
Mais où est donc passée la 7ème compagnie...;1973;Robert Lamoureux;6;25/05/2019
Gisaengchoong;2019;Bong Joon-Ho;8;24/06/2019
Chung ngon sat luk: O gei;1994;Kirk Wong;#NOMBRE!;01/01/1970
L'Enquête corse;2004;Alain Berbérian;6;01/06/2019
Welcome to Marwen;2018;Robert Zemeckis;5;21/05/2019
Dalkomhan Insaeng;2005;Kim Jee-Woon;6;19/05/2019
Glass;2019;M. Night Shyamalan;5;21/05/2019
Hua li shang ban zu;2015;Johnnie To;7;19/05/2019
La Vérité si je mens ! 2;2001;Thomas Gilou;5;11/05/2019
Escape from Alcatraz;1979;Don Siegel;8;11/05/2019
Le Goût des merveilles;2015;Éric Besnard;4;10/05/2019
Les Parapluies de Cherbourg;1964;Jacques Demy;7;12/05/2019
The Passion of the Christ;2004;Mel Gibson;4;26/04/2019
Le Sens de la fête;2017;Olivier Nakache Eric Toledano;8;01/01/2019
First Man;2018;Damien Chazelle;6;13/01/2019
Ami-ami;2018;Victor Saint Macary;5;02/02/2019
Quatre étoiles;2006;Christian Vincent;4;01/01/1970
Le Mac;2010;Pascal Bourdiaux;5;05/05/2019
Liu lang di qiu;2019;Frant Gwo;6;05/05/2019
Match Point;2005;Woody Allen;8;27/04/2019
The Jungle Book;2016;Jon Favreau;5;21/04/2019
Camping;2006;Fabien Onteniente;5;12/04/2019
La Délicatesse;2011;David Foenkinos Stéphane Foenkinos;8;12/04/2019
Central Intelligence;2016;Rawson Marshall Thurber;4;06/04/2019
The Lost World: Jurassic Park;1997;Steven Spielberg;7;23/03/2019
Isn't It Romantic;2019;Todd Strauss-Schulson;3;30/03/2019
Les Aventures de Spirou et Fantasio;2018;Alexandre Coffre;4;10/03/2019
Beverly Hills Cop;1984;Martin Brest;7;13/03/2019
Coming to America;1988;John Landis;6;09/03/2019
Bohemian Rhapsody;2018;Bryan Singer;6;03/03/2019
Au revoir là-haut;2017;Albert Dupontel;6;25/02/2019
Espèces menacées;2017;Gilles Bourdos;7;22/02/2019
Dragon Girls;2016;Yves Montmayeur;6;20/02/2019
Ralph Breaks the Internet;2018;Rich Moore Phil Johnston;4;20/02/2019
Nie Yinniang;2015;Hou Hsiao-Hsien;9;31/12/2015
Molly's Game;2017;Aaron Sorkin;6;14/01/2019
Carnivores;2018;Jérémie Renier Yannick Renier;5;18/02/2019
Green Book;2018;Peter Farrelly;7;17/02/2019
La Surface de réparation;2018;Christophe Regin;5;16/02/2019
Cherchez la femme;2017;Sou Abadi;5;03/01/2019
A Star Is Born;2018;Bradley Cooper;7;27/01/2019
Mortal Engines;2018;Christian Rivers;5;30/12/2018
The Ballad of Buster Scruggs;2018;Joel Coen Ethan Coen;7;01/01/1970
Despicable Me;2010;Chris Renaud Pierre Coffin;6;27/12/2018
Battle of the Sexes;2017;Jonathan Dayton Valerie Faris;5;18/10/2018
Crazy Stupid Love.;2011;Glenn Ficarra John Requa;8;23/12/2018
The Rocker;2008;Peter Cattaneo;#NOMBRE!;01/01/1970
Paper Man;2010;Kieran Mulroney Michele Mulroney;#NOMBRE!;01/01/1970
Outland;1981;Peter Hyams;5;26/12/2018
Aloha;2015;Cameron Crowe;5;26/12/2018
Barton Fink;1991;Joel Coen Ethan Coen;7;26/12/2018
Le Prénom : La Pièce de théâtre;2012;Bernard Murat;7;25/12/2018
L'Affaire Farewell;2009;Christian Carion;6;09/12/2018
The Princess Switch;2018;Mike Rohl;2;23/12/2018
Le Redoutable;2017;Michel Hazanavicius;6;15/12/2018
Long men kezhan;1967;King Hu;8;16/12/2018
Bird Box;2018;Susanne Bier;6;21/12/2018
The Predator;2018;Shane Black;3;02/12/2018
Teoneol;2016;Kim Sung-Hoon;6;01/12/2018
Good Kill;2015;Andrew Niccol;8;01/01/1970
The Day After Tomorrow;2004;Roland Emmerich;8;25/11/2018
Mile 22;2018;Peter Berg;5;16/11/2018
Skyscraper;2018;Rawson Marshall Thurber;4;16/11/2018
The Meg;2018;Jon Turteltaub;2;15/11/2018
Kursk;2018;Thomas Vinterberg;5;07/11/2018
Volontaire;2018;Hélène Fillières;4;01/11/2018
Mary Shelley;2018;Haifaa Al-Mansour;5;02/11/2018
Le Grand Bain;2018;Gilles Lellouche;8;01/11/2018
Isle of Dogs;2018;Wes Anderson;8;31/10/2018
We Are X;2016;Stephen Kijak;9;24/10/2018
Idiocracy;2006;Mike Judge;4;19/10/2018
Le Brio;2017;Yvan Attal;6;10/10/2018
Call Me by Your Name;2018;Luca Guadagnino;7;09/10/2018
Jeux interdits;1952;René Clément;#NOMBRE!;01/01/1970
Ferris Bueller's Day Off;1986;John Hughes;8;06/10/2018
Blade Runner;1982;Ridley Scott;9;05/10/2018
Papillon;1973;Franklin J. Schaffner;7;22/09/2018
Jalouse;2017;David Foenkinos Stéphane Foenkinos;6;02/10/2018
D'après une histoire vraie;2017;Roman Polanski;4;14/09/2018
BlacKkKlansman;2018;Spike Lee;7;21/09/2018
Solo - A Star Wars Story;2018;Ron Howard;5;13/09/2018
Thor: Ragnarok;2017;Taika Waititi;6;12/09/2018
Fever Pitch;2005;Peter Farrelly Bobby Farrelly;5;09/09/2018
Ghostbusters;2016;Paul Feig;5;10/09/2018
The Proposal;2009;Anne Fletcher;5;09/09/2018
Coexister;2017;Fabrice Eboué;5;17/08/2018
A Quiet Place;2018;John Krasinski;6;12/08/2018
Di Renjie zhi Sidatianwang;2018;Tsui Hark;6;12/08/2018
Gerald's Game;2017;Mike Flanagan;5;11/08/2018
Nos patriotes;2017;Gabriel Le Bomin;5;10/08/2018
Mission: Impossible - Fallout;2018;Christopher McQuarrie;6;08/08/2018
Raffles Hotel;1989;Ry? Murakami;6;06/08/2018
Death on the Nile;1978;John Guillermin;7;05/08/2018
S.M.A.R.T. Chase;2017;Charles Martin (XI);4;04/08/2018
Ready Player One;2018;Steven Spielberg;7;31/07/2018
Versus;2001;Ryûhei Kitamura;#NOMBRE!;01/01/1970
The Shining;1980;Stanley Kubrick;8;30/06/2018
Topâzu;1992;Ry? Murakami;#NOMBRE!;01/01/1970
Tomb Raider;2018;Roar Uthaug;5;30/07/2018
About a Boy;2002;Chris Weitz Paul Weitz;6;16/06/2018
Baywatch;2017;Seth Gordon;4;04/05/2018
L'Amant double;2017;François Ozon;5;20/05/2018
The Incredible Burt Wonderstone;2013;Don Scardino;4;24/05/2018
Jumanji: Welcome to the Jungle;2017;Jake Kasdan;5;21/04/2018
L'Idéal;2016;Frédéric Beigbeder;6;25/04/2018
Ce qui nous lie;2017;Cédric Klapisch;7;28/04/2018
Jour J;2017;Reem Kherici;5;28/04/2018
Jeanne d'Arc;1999;Luc Besson;7;07/04/2018
REC;2007;Jaume Balagueró Paco Plaza;4;01/04/2018
Papy fait de la résistance;1983;Jean-Marie Poiré;6;01/04/2018
Cloverfield;2008;Matt Reeves;6;30/03/2018
Sous le même toit;2017;Dominique Farrugia;5;25/03/2018
Cast Away;2000;Robert Zemeckis;7;24/03/2018
Big;1988;Penny Marshall;5;24/03/2018
Cyrano de Bergerac;1990;Jean-Paul Rappeneau;7;11/03/2018
The X Files;1998;Rob Bowman;6;20/03/2018
Chez nous;2017;Lucas Belvaux;5;17/02/2018
Gangsterdam;2017;Romain Levy;4;18/02/2018
Judge Dredd;1995;Danny Cannon;5;10/02/2018
De battre mon cœur s'est arrêté;2005;Jacques Audiard;8;11/02/2018
Un héros très discret;1996;Jacques Audiard;8;11/02/2018
Papa ou Maman 2;2016;Martin Bourboulon;6;19/01/2018
La Prochaine fois je viserai le cœur;2014;Cédric Anger;5;11/01/2018
Dagon;2001;Stuart Gordon;#NOMBRE!;01/01/1970
Elysium;2013;Neill Blomkamp;5;27/02/2017
The Wolverine;2013;James Mangold;4;09/03/2017
Stranger Than Fiction;2006;Marc Forster;6;27/12/2017
Limitless;2011;Neil Burger;7;05/10/2017
The Change-Up;2011;David Dobkin;4;05/10/2017
Event Horizon;1997;Paul W. S. Anderson;4;15/07/2017
After Earth;2013;M. Night Shyamalan;#NOMBRE!;01/01/1970
Lost in Space;1998;Stephen Hopkins;#NOMBRE!;01/01/1970
Men Women & Children;2014;Jason Reitman;#NOMBRE!;01/01/1970
Yeojaneun namjaui miraeda;2004;Hong Sang-Soo;#NOMBRE!;01/01/1970
War for the Planet of the Apes;2017;Matt Reeves;4;07/01/2018
Brick;2006;Rian Johnson;6;06/01/2018
Iris;2016;Jalil Lespert;5;06/01/2018
Peurizeun;2017;Na Hyeon;5;05/01/2018
The Accountant;2016;Gavin O'Connor;6;05/01/2018
Raid Dingue;2017;Dany Boon;4;05/01/2018
I Don't Feel at Home in This World Anymore;2017;Macon Blair;6;01/01/2018
21;2008;Robert Luketic;5;30/12/2017
L'Ascension;2017;Ludovic Bernard;5;29/12/2017
Star Wars: The Last Jedi;2017;Rian Johnson;4;29/12/2017
Serbuan Maut;2011;Gareth Evans;#NOMBRE!;01/01/1970
The Discovery;2017;Charlie McDowell;5;26/12/2017
Hot Girls Wanted;2015;Jill Bauer Ronna Gradus;5;27/12/2017
It;2017;Andy Muschietti;6;26/12/2017
Nanny McPhee and the Big Bang;2010;Susanna White;4;25/12/2017
Zootopia;2016;Byron Howard Rich Moore Jared Bush;6;22/12/2017
Toki o kakeru shôjo;2006;Mamoru Hosoda;7;26/12/2017
Nanny McPhee;2005;Kirk Jones;6;25/12/2017
Autoreiji;2010;Takeshi Kitano;7;19/12/2017
Flatliners;2017;Niels Arden Oplev;3;15/12/2017
The Mountain Between Us;2017;Hany Abu-Assad;6;14/12/2017
Kimi no na wa.;2016;Makoto Shinkai;8;12/12/2017
Logan Lucky;2017;Steven Soderbergh;7;08/12/2017
Hail Caesar!;2016;Ethan Coen Joel Coen;6;08/12/2017
American Made;2017;Doug Liman;6;08/12/2017
Valerian and the City of a Thousand Planets;2017;Luc Besson;7;07/12/2017
Gifted;2017;Marc Webb;6;06/12/2017
Wind River;2017;Taylor Sheridan;7;04/12/2017
Why Him?;2016;John Hamburg;5;01/12/2017
Brice 3;2016;James Huth;5;01/12/2017
Demain tout commence;2016;Hugo Gélin;5;01/12/2017
King Arthur: Legend of the Sword;2017;Guy Ritchie;6;28/05/2017
Juste la fin du monde;2016;Xavier Dolan;7;08/10/2017
The Beguiled;2017;Sofia Coppola;6;11/11/2017
The Amityville Horror;2005;Andrew Douglas;4;06/11/2017
The Bridge on the River Kwai;1957;David Lean;7;27/03/2017
Sully;2016;Clint Eastwood;7;24/10/2017
War Dogs;2016;Todd Phillips;6;09/10/2017
Blade Runner 2049;2017;Denis Villeneuve;7;09/10/2017
12 Years a Slave;2013;Steve McQueen;7;08/10/2017
Un petit boulot;2016;Pascal Chaumeil;6;06/10/2017
Ben-Hur;2016;Timur Bekmambetov;4;05/10/2017
What Happened to Monday;2017;Tommy Wirkola;5;08/09/2017
The Girl with All the Gifts;2016;Colm McCarthy;5;09/09/2017
Bridget Jones's Baby;2016;Sharon Maguire;5;10/09/2017
Mother!;2017;Darren Aronofsky;8;13/09/2017
Nocturnal Animals;2016;Tom Ford;7;24/09/2017
Suicide Squad;2016;David Ayer;4;07/09/2017
Baby Driver;2017;Edgar Wright;6;02/10/2017
Radin !;2016;Fred Cavayé;3;03/09/2017
Médecin de campagne;2016;Thomas Lilti;5;26/08/2017
Billy Lynn's Long Halftime Walk;2016;Ang Lee;6;13/08/2017
Highlander;1986;Russell Mulcahy;8;30/07/2017
Alibi.com;2017;Philippe Lacheau;6;12/08/2017
13 Hours: The Secret Soldiers of Benghazi;2016;Michael Bay;6;29/07/2017
The Quiet Ones;2014;John Pogue;4;30/07/2017
Vacation;2015;John Francis Daley Jonathan Goldstein;5;30/07/2017
Neighbors 2: Sorority Rising;2016;Nicholas Stoller;5;02/08/2017
Star Trek Beyond;2016;Justin Lin;6;21/07/2017
Gibraltar;2013;Julien Leclercq;5;23/07/2017
Dunkirk;2017;Christopher Nolan;8;19/07/2017
I Love You Beth Cooper;2009;Chris Columbus;#NOMBRE!;01/01/1970
Zoku Miyamoto Musashi: Ichijoji no ketto;1955;Hiroshi Inagaki;7;11/07/2017
Éternité;2016;Tr?n Anh Hùng;5;11/07/2017
L'Été meurtrier;1983;Jean Becker;#NOMBRE!;01/01/1970
Le Grand Chemin;1987;Jean-Loup Hubert;#NOMBRE!;01/01/1970
Split;2016;M. Night Shyamalan;7;10/07/2017
Chûgoku no chôjin;1998;Takashi Miike;#NOMBRE!;01/01/1970
Silence;2017;Martin Scorsese;8;09/07/2017
Katakuri-ke no kôfuku;2001;Takashi Miike;#NOMBRE!;01/01/1970
Los Sin nombre;2000;Jaume Balagueró;#NOMBRE!;01/01/1970
Mute Witness;1995;Anthony Waller;#NOMBRE!;01/01/1970
The Hidden;1987;Jack Sholder;#NOMBRE!;01/01/1970
The Horribly Slow Murderer with the Extremely Inefficient Weapon;2008;Richard Gale;#NOMBRE!;01/01/1970
Juillet-Août;2016;Diastème;5;01/01/1970
Le Correspondant;2016;Jean-Michel Ben Soussan;3;05/07/2017
Ils sont partout;2016;Yvan Attal;4;23/06/2017
Débarquement immédiat !;2016;Philippe de Chauveron;5;23/06/2017
Wonder Woman;2017;Patty Jenkins;6;24/06/2017
Miyamoto Musashi;1954;Hiroshi Inagaki;7;03/07/2017
Pride & Prejudice & Zombies;2016;Burr Steers;6;02/07/2017
Maggie;2015;Henry Hobson;5;02/07/2017
Elle;2016;Paul Verhoeven;7;01/07/2017
Rock'n Roll;2017;Guillaume Canet;6;30/06/2017
Orca;1977;Michael Anderson;#NOMBRE!;01/01/1970
Alien³;1992;David Fincher;6;02/06/2017
Paul;2011;Greg Mottola;5;15/06/2017
Kaze tachinu;2013;Hayao Miyazaki;8;12/06/2017
Grave;2017;Julia Ducournau;9;11/06/2017
The Neon Demon;2016;Nicolas Winding Refn;8;11/06/2017
Alien vs. Predator;2004;Paul W. S. Anderson;4;05/06/2017
War Machine;2017;David Michôd;6;28/05/2017
Colossal;2017;Nacho Vigalondo;6;27/05/2017
L'Outsider;2016;Christophe Barratier;6;26/05/2017
Robin Hood;2010;Ridley Scott;6;09/06/2017
Project X;2012;Nima Nourizadeh;#NOMBRE!;01/01/1970
Fantastic Four;2005;Tim Story;#NOMBRE!;01/01/1970
The Fast and the Furious: Tokyo Drift;2006;Justin Lin;#NOMBRE!;01/01/1970
2 Fast 2 Furious;2003;John Singleton;#NOMBRE!;01/01/1970
Lara Croft: Tomb Raider - The Cradle of Life;2003;Jan de Bont;#NOMBRE!;01/01/1970
Fantastic Four: Rise of the Silver Surfer;2007;Tim Story;#NOMBRE!;01/01/1970
Baise-moi;2000;Virginie Despentes Coralie Trinh Thi;#NOMBRE!;01/01/1970
3 zéros;2002;Fabien Onteniente;#NOMBRE!;01/01/1970
Dragon Ball the Magic Begins;1991;Chan Jun-leung;3;01/01/1970
Book of Shadows: Blair Witch 2;2000;Joe Berlinger;#NOMBRE!;01/01/1970
