Title;Year;Directors;Rating10;WatchedDate
Shichinin no samurai;1954;Akira Kurosawa;8;15/07/2024
Un éléphant ça trompe énormément;1976;Yves Robert;6;15/07/2024
Beverly Hills Cop: Axel F;2024;Mark Molloy;4;13/07/2024
The Silence;2019;John R. Leonetti;5;14/07/2024
A Quiet Place: Day One;2024;Michael Sarnoski;5;14/07/2024
Dredd;2012;Pete Travis;6;08/07/2024
Mù zh?ng Wúrén;2022;Yáng B?ng-Ji?;6;26/06/2024
Furiosa: A Mad Max Saga;2024;George Miller;7;25/06/2024
Mars Express;2023;Jérémie Périn;7;19/06/2024
Last Sentinel;2023;Tanel Toom;5;16/06/2024
Pas de vagues;2024;Teddy Lussi-Modeste;6;14/06/2024
Mondays: Kono taimurupu look joshi ni kidzuka senai to owaranai;2022;Ryo Takebayashi;6;30/05/2024
A Slice of Lynch;2007;Charles de Lauzirika;7;17/05/2024
Civil War;2024;Alex Garland;7;12/05/2024
Dune: Part Two;2024;Denis Villeneuve;7;19/04/2024
Sigan;2006;Kim Ki-Duk;#NOMBRE!;27/04/2024
Dung che sai duk redux;2008;Wong Kar-Wai;#NOMBRE!;26/04/2024
Late Night with the Devil;2024;Cameron Cairnes Colin Cairnes;4;25/04/2024
Gosford Park;2001;Robert Altman;7;17/04/2024
Doctor Sleep : Director's Cut;2020;Mike Flanagan;7;10/04/2024
Road House;2024;Doug Liman;4;09/04/2024
Soudain seuls;2023;Thomas Bidegain;5;07/04/2024
Coup de chance;2023;Woody Allen;6;01/04/2024
Terminator: Genisys;2015;Alan Taylor;7;15/08/2015
Dai yat lui ying aau him;1980;Tsui Hark;6;19/02/2024
Terminator 3: Rise of the Machines;2003;Jonathan Mostow;4;26/03/2024
Caprice;2015;Emmanuel Mouret;5;24/03/2024
Kimi;2022;Steven Soderbergh;5;24/03/2024
Hidden Figures;2017;Theodore Melfi;5;24/03/2024
La Place d'une autre;2022;Aurélia Georges;5;18/03/2024
Le Bonheur des uns...;2020;Daniel Cohen;7;18/03/2024
Second Tour;2023;Albert Dupontel;4;18/03/2024
Le Règne animal;2023;Thomas Cailley;7;18/03/2024
Midnight Special;2016;Jeff Nichols;7;18/03/2024
No Hard Feelings;2023;Gene Stupnitsky;6;17/03/2024
Syk pike;2023;Kristoffer Borgli;6;17/03/2024
Poor Things;2024;Yórgos Lánthimos;7;12/03/2024
Dream Scenario;2023;Kristoffer Borgli;7;29/02/2024
Anyone But You;2023;Will Gluck;6;29/02/2024
American Fiction;2023;Cord Jefferson;6;28/02/2024
Une année difficile;2023;Olivier Nakache Eric Toledano;5;17/02/2024
Feng shen Di yi bu: Zhao Ge feng yun;2023;W? ?r-Shàn (Wuershan);7;11/02/2024
Godzilla Minus One;2023;Takashi Yamazaki;5;31/01/2024
Chung Hing sam lam;1994;Wong Kar-Wai;8;28/01/2024
Contagion;2011;Steven Soderbergh;7;18/01/2016
Chun gwong cha sit;1997;Wong Kar-Wai;7;25/01/2024
Acide;2023;Just Philippot;5;19/01/2024
Do lok tin si;1995;Wong Kar-Wai;7;17/01/2024
The African Queen;1951;John Huston;7;06/01/2024
Wahou !;2023;Bruno Podalydès;5;05/01/2024
La sociedad de la nieve;2023;J. A. Bayona;7;04/01/2024
La Très Très Grande Classe;2022;Frédéric Quiring;4;02/01/2024
Les Trois Mousquetaires - Milady;2023;Martin Bourboulon;5;30/12/2023
What Men Want;2019;Adam Shankman;3;29/12/2023
Perfect Days;2023;Wim Wenders;8;18/12/2023
Leave the World Behind;2023;Sam Esmail;6;11/12/2023
Zoey's Extraordinary Christmas;2021;Richard Shepard;7;03/12/2023
Christmas in the Heartland;2018;Harvey Lowry;4;03/12/2023
Denchû kozô no bôken;1987;Shinya Tsukamoto;5;01/12/2023
Yannick;2023;Quentin Dupieux (Mr. Oizo);8;01/12/2023
Hak bak do;2006;Herman Yau;8;27/11/2023
Kimitachi wa dô ikiru ka;2023;Hayao Miyazaki;#NOMBRE!;25/11/2023
Geomijib;2023;Kim Jee-Woon;6;22/11/2023
Jericho Ridge;2023;Will Gilbey;6;21/11/2023
Jeune & Jolie;2013;François Ozon;6;20/11/2023
Sun lau Ngac lau;2000;Tsui Hark;6;19/11/2023
The Killer;2023;David Fincher;7;15/11/2023
Heung gong jai;2014;Pang Ho-Cheung;7;06/11/2023
Bonne conduite;2023;Jonathan Barré;6;31/10/2023
Beastie Boys Story;2020;Spike Jonze;7;25/10/2023
The Creator;2023;Gareth Edwards;5;24/10/2023
Le Livre des solutions;2023;Michel Gondry;7;17/10/2023
Groundhog Day;1993;Harold Ramis;#NOMBRE!;10/10/2023
Mamma Mia! Here We Go Again;2018;Ol Parker;4;14/10/2023
Scream VI;2023;Matt Bettinelli-Olpin Tyler Gillett;4;09/10/2023
Mascarade;2022;Nicolas Bedos;7;09/10/2023
Renfield;2023;Chris McKay;5;09/10/2023
Crawl;2019;Alexandre Aja;5;14/10/2023
Elemental;2023;Peter Sohn;7;15/10/2023
65;2023;Scott Beck Bryan Woods;4;15/10/2023
Dou hap;1990;Wong Jing;5;07/10/2023
Les Chatouilles;2018;Andréa Bescond Eric Métayer;6;01/10/2023
Un métier sérieux;2023;Thomas Lilti;6;30/09/2023
Past Lives;2023;Celine Song;7;18/09/2023
Un plan parfait;2012;Pascal Chaumeil;6;17/09/2023
La Nuée;2021;Just Philippot;6;16/09/2023
Sentinelle;2023;Hugo Benamozig David Caviglioli;5;16/09/2023
Anatomie d'une chute;2023;Justine Triet;7;15/09/2023
Keiko me wo sumasete;2022;Sho Miyake;7;07/09/2023
Meg 2: The Trench;2023;Ben Wheatley;3;27/08/2023
C'est la vie;2021;Julien Rambaldi;5;24/08/2023
Showgirls;1995;Paul Verhoeven;6;21/08/2023
2010: The Year We Make Contact;1984;Peter Hyams;6;15/08/2023
Reality;2023;Tina Satter;5;21/08/2023
To Live and Die in L.A.;1985;William Friedkin;7;20/08/2023
Oppenheimer;2023;Christopher Nolan;7;15/08/2023
Sorcerer;1977;William Friedkin;7;10/08/2023
The First Slam Dunk;2022;Takehiko Inoue;7;07/08/2023
Une belle équipe;2020;Mohamed Hamidi;4;27/07/2023
Pandorum;2009;Christian Alvart;6;26/07/2023
The Nice Guys;2016;Shane Black;6;26/07/2023
The Children's Hour;1961;William Wyler;7;25/07/2023
Mission: Impossible - Dead Reckoning;2023;Christopher McQuarrie;7;23/07/2023
Michael Jackson's Thriller;1983;John Landis;#NOMBRE!;01/01/1970
TÁR;2022;Todd Field;7;22/07/2023
Rien à foutre;2022;Emmanuel Marre Julie Lecoustre;6;22/07/2023
Le Parfum vert;2022;Nicolas Pariser;5;21/07/2023
Little Women;1994;Gillian Armstrong;7;20/07/2023
Master Gardener;2023;Paul Schrader;6;18/07/2023
Mon crime;2023;François Ozon;7;17/07/2023
Un homme heureux;2023;Tristan Séguéla;5;15/07/2023
Les Petites Victoires;2023;Mélanie Auffret;6;14/07/2023
Alibi.com 2;2023;Philippe Lacheau;4;09/07/2023
Asteroid City;2023;Wes Anderson;7;05/07/2023
Indiana Jones and the Dial of Destiny;2023;James Mangold;6;02/07/2023
Evil Dead Rise;2023;Lee Cronin;3;24/06/2023
Tetris;2023;Jon S. Baird;6;02/06/2023
Dheepan;2015;Jacques Audiard;7;29/05/2023
Youssef Salem a du succès;2023;Baya Kasmi;6;29/05/2023
To Catch a Killer;2023;Damián Szifrón;6;21/05/2023
Tin lung baat bou;2023;Donnie Yen;4;17/05/2023
Dungeons & Dragons: Honor Among Thieves;2023;John Francis Daley Jonathan Goldstein;6;09/05/2023
Rambo: Last Blood;2019;Adrian Grunberg;5;03/05/2023
What Women Want;2000;Nancy Meyers;6;02/05/2023
Le Jeu;2018;Fred Cavayé;4;01/05/2023
Wu Xia;2011;Peter Chan Ho-Sun;6;25/04/2023
John Rambo;2010;Sylvester Stallone;5;23/04/2023
Rambo III;1988;Peter MacDonald;6;23/04/2023
Se jie;2007;Ang Lee;7;22/04/2023
Jumeaux… mais pas trop !;2022;Olivier Ducray Wilfried Méance;4;20/04/2023
A Bridge Too Far;1977;Richard Attenborough;5;17/04/2023
Rambo: First Blood Part II;1985;George Pan Cosmatos;6;16/04/2023
First Blood;1982;Ted Kotcheff;7;16/04/2023
Creed III;2023;Michael B. Jordan;6;15/04/2023
Creed II;2018;Steven Caple Jr.;6;14/04/2023
Creed;2015;Ryan Coogler;6;13/04/2023
Rocky Balboa;2006;Sylvester Stallone;6;12/04/2023
Rocky V;1990;John G. Avildsen;6;11/04/2023
Rocky IV: Rocky vs Drago - The Ultimate Director's Cut;2021;Sylvester Stallone;6;11/04/2023
Rocky III;1982;Sylvester Stallone;6;10/04/2023
Fumer fait tousser;2022;Quentin Dupieux (Mr. Oizo);6;10/04/2023
Under the Silver Lake;2018;David Robert Mitchell;7;10/04/2023
Tau man ji D;2005;Alan Mak Andrew Lau;6;19/03/2023
Beverly Hills Cop 3;1994;John Landis;5;10/01/2023
Incroyable mais vrai;2022;Quentin Dupieux (Mr. Oizo);6;09/04/2023
The Super Mario Bros. Movie;2023;Aaron Horvath Michael Jelenic;6;08/04/2023
Enemy of the State;1998;Tony Scott;6;04/04/2023
Tais-toi !;2003;Francis Veber;5;02/04/2023
Cannibal Holocaust;1980;Ruggero Deodato;6;02/04/2023
Ultimo mondo cannibale;1977;Ruggero Deodato;6;02/04/2023
Zack Snyder's Justice League;2021;Zack Snyder;6;31/03/2023
Les Trois Mousquetaires - D'Artagnan;2023;Martin Bourboulon;6;23/03/2023
Basic Instinct;1992;Paul Verhoeven;8;23/03/2023
Dung fong sam hap;1993;Johnnie To;5;19/03/2023
The Whale;2022;Darren Aronofsky;7;19/03/2023
Couleurs de l'incendie;2022;Clovis Cornillac;7;18/03/2023
Eternals;2021;Chloé Zhao;4;10/03/2023
L'Innocent;2022;Louis Garrel;5;04/03/2023
L'Origine du mal;2022;Sébastien Marnier;6;27/02/2023
Under the Skin;2014;Jonathan Glazer;7;22/02/2023
Jack Mimoun et les secrets de Val Verde;2022;Ludovic Colbeau-Justin Malik Bentalha;5;02/03/2023
Le Dernier Voyage;2021;Romain Quirot;4;26/02/2023
Vesper;2022;Kristina Buozyte Bruno Samper;6;26/01/2023
Une heure de tranquillité;2014;Patrice Leconte;4;05/02/2023
As Bestas;2022;Rodrigo Sorogoyen;7;28/02/2023
Hereditary;2018;Ari Aster;6;27/02/2023
Plancha;2022;Éric Lavaine;6;25/02/2023
Revenge;2018;Coralie Fargeat;5;18/02/2023
Babylon;2022;Damien Chazelle;8;18/01/2023
The Stepford Wives;1975;Bryan Forbes;6;09/01/2023
Don't Worry Darling;2022;Olivia Wilde;6;09/01/2023
Puss in Boots: The Last Wish;2022;Joel Crawford Januel Mercado;6;08/01/2023
Shimotsuma monogatari;2004;Tetsuya Nakashima;#NOMBRE!;01/01/1970
Leave Her to Heaven;1947;John M. Stahl;7;06/01/2023
Significant Other;2022;Dan Berk Robert Olsen;6;06/01/2023
The Ghost and Mrs. Muir;1947;Joseph L. Mankiewicz;7;05/01/2023
Les Cinq Diables;2022;Léa Mysius;5;04/01/2023
To Be or Not to Be;1942;Ernst Lubitsch;7;04/01/2023
Heaven Can Wait;1943;Ernst Lubitsch;8;03/01/2023
Camille redouble;2012;Noémie Lvovsky;6;21/12/2022
The Bay;2012;Barry Levinson;6;25/12/2022
Smile;2022;Parker Finn;5;20/12/2022
Nymphomaniac: Vol. I;2013;Lars von Trier;7;16/12/2022
Geukhanjikeob;2019;Lee Byeong-Hun;6;14/12/2022
Mogadishu;2021;Ryoo Seung-Wan;6;12/12/2022
Armageddon Time;2022;James Gray;7;07/12/2022
Pretty Woman;1990;Garry Marshall;7;28/11/2022
Nope;2022;Jordan Peele;5;23/11/2022
Evan Almighty;2007;Tom Shadyac;3;09/10/2022
