title,year,film_url,user_rating,annotation
Les Tontons flingueurs,1963,https://www.senscritique.com/film/les_tontons_flingueurs/370575,7/10,
Un bonheur n'arrive jamais seul,2012,https://www.senscritique.com/film/un_bonheur_n_arrive_jamais_seul/483000,4/10,
Hors de prix,2006,https://www.senscritique.com/film/hors_de_prix/418351,6/10,
Le Pari,1997,https://www.senscritique.com/film/le_pari/444164,5/10,
Oblivion,2013,https://www.senscritique.com/film/oblivion/363108,6/10,
Edge of Tomorrow,2014,https://www.senscritique.com/film/edge_of_tomorrow/8195124,7/10,
"OSS 117 - Le Caire, nid d'espions",2006,https://www.senscritique.com/film/oss_117_le_caire_nid_d_espions/389335,8/10,Revu le 11/02/20.
OSS 117 - Rio ne répond plus...,2009,https://www.senscritique.com/film/oss_117_rio_ne_repond_plus/373576,,Moi fin que son prédécesseur (malheureusement). On est plus ici dans le grand guignol que dans la parodie.
My Sassy Girl,2001,https://www.senscritique.com/film/my_sassy_girl/476377,8/10,
Kong: Skull Island,2017,https://www.senscritique.com/film/kong_skull_island/11869623,5/10,Revu le 02/03/20.
Men in Black II,2002,https://www.senscritique.com/film/men_in_black_ii/417206,7/10,Revu le 11/02/20.
Une journée en enfer,1995,https://www.senscritique.com/film/une_journee_en_enfer/496982,8/10,"COVID-19 => confinement => W9 => ""Une Journée en enfer"" !!! Hell yeah !!!"
L'Arme fatale 3,1992,https://www.senscritique.com/film/l_arme_fatale_3/431584,7/10,"Quelques mois avant Christian Clavier, Joe Pesci claquait les plus beaux ""Okay"" du 7e Art !!"
Snowden,2016,https://www.senscritique.com/film/snowden/11473874,7/10,Revu le 30/05/20.
L'Empire des sens,1976,https://www.senscritique.com/film/l_empire_des_sens/478117,7/10,
Get Out,2017,https://www.senscritique.com/film/get_out/23068056,7/10,Revu le 07/06/20.
Yesterday,2019,https://www.senscritique.com/film/yesterday/32400063,7/10,Revu le 16/06/20.
Akira,1988,https://www.senscritique.com/film/akira/418144,9/10,
James Bond 007 contre Dr. No,1962,https://www.senscritique.com/film/james_bond_007_contre_dr_no/381272,6/10,
Avis de mistral,2014,https://www.senscritique.com/film/avis_de_mistral/10928337,5/10,Revu le 11/11/20.
Primer,2004,https://www.senscritique.com/film/primer/389027,7/10,"Vu lors de sa sortie ~2006, j'en gardais en souvenir très prégnant, celui de n'avoir rien compris !!"
Bodyguard,1992,https://www.senscritique.com/film/bodyguard/395367,6/10,"""Bodyguard"" ce n'est pas du grand cinéma mais qu'est-ce que c'est efficace !!"
Witness - Témoin sous surveillance,1985,https://www.senscritique.com/film/witness_temoin_sous_surveillance/376900,7/10,
Robin des Bois - Prince des voleurs,1991,https://www.senscritique.com/film/robin_des_bois_prince_des_voleurs/429742,6/10,
La Guerre des étoiles,1977,https://www.senscritique.com/film/la_guerre_des_etoiles/365132,8/10,Despecialized Edition 2.5
Tenet,2020,https://www.senscritique.com/film/tenet/38918801,8/10,Revu le 19/12/2020.
L'As des as,1982,https://www.senscritique.com/film/l_as_des_as/472395,6/10,
Santa & Cie,2017,https://www.senscritique.com/film/santa_cie/24542882,9/10,Revu le 25/12/2020.
Les Rois mages,2001,https://www.senscritique.com/film/les_rois_mages/477472,6/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
