title,year,film_url,user_rating,annotation
Les Anges déchus,1995,https://www.senscritique.com/film/les_anges_dechus/438753,7/10,
Happy Together,1997,https://www.senscritique.com/film/happy_together/478823,7/10,
Jugatsu,1990,https://www.senscritique.com/film/jugatsu/440100,7/10,
Chungking Express,1994,https://www.senscritique.com/film/chungking_express/1350133,8/10,
L'Enfer des armes,1980,https://www.senscritique.com/film/l_enfer_des_armes/415956,6/10,Version internationale.
Terminator 3 - Le soulèvement des machines,2003,https://www.senscritique.com/film/terminator_3_le_soulevement_des_machines/373396,4/10,
Un métier sérieux,2023,https://www.senscritique.com/film/un_metier_serieux/46531986,6/10,Revu le 01/06/2024.
Mais où est donc passée la 7ème compagnie...,1973,https://www.senscritique.com/film/mais_ou_est_donc_passee_la_7eme_compagnie/399448,6/10,Revu le 08/06/2024.
Les Sept Samouraïs,1954,https://www.senscritique.com/film/les_sept_samourais/451324,8/10,
The Whale,2022,https://www.senscritique.com/film/the_whale/43807211,7/10,Revu le 20/07/2024.
The Mission,1999,https://www.senscritique.com/film/the_mission/373707,8/10,
Barbie,2023,https://www.senscritique.com/film/barbie/16910804,7/10,Revu le 22/07/2024.
Tout sauf toi,2023,https://www.senscritique.com/film/tout_sauf_toi/55846623,6/10,Revu le 25/07/2024.
Madame Doubtfire,1993,https://www.senscritique.com/film/madame_doubtfire/378624,6/10,"Ce film culte des années 90, vu à l'époque avec délectation au cinéma, a malheureusement un peu vieilli"
The Killer,1989,https://www.senscritique.com/film/the_killer/487590,7/10,"Parfois un peu kitch (mais pas plus aujourd'hui que lors de sa découverte en 2000), ce film reste un monument de mélancolie. Ceux qui vont mourir te saluent !"
Speed,1994,https://www.senscritique.com/film/speed/428033,7/10,
Top Gun: Maverick,2022,https://www.senscritique.com/film/top_gun_maverick/13370077,6/10,Revu le 02/10/2024.
La Malédiction,1976,https://www.senscritique.com/film/la_malediction/380215,6/10,Revu le 02/11/2024.
Le Fugitif,1993,https://www.senscritique.com/film/le_fugitif/481637,6/10,
The Night Before : Secret Party,2015,https://www.senscritique.com/film/the_night_before_secret_party/12536896,6/10,Revu le 28/12/24.
L'Étudiante,1988,https://www.senscritique.com/film/l_etudiante/1057072,6/10,
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
