Title,Year,Directors,Rating10,WatchedDate
"Xia nu chuan qi",1992,Yu Mang-Sang,4,2024-07-17
"Lockout",2012,James Mather Stephen St. Leger,3,2024-07-08
"Shichinin no samurai",1954,Akira Kurosawa,8,2024-07-15
"Un éléphant ça trompe énormément",1976,Yves Robert,6,2024-07-15
"Beverly Hills Cop: Axel F",2024,Mark Molloy,4,2024-07-13
"The Silence",2019,John R. Leonetti,5,2024-07-14
"A Quiet Place: Day One",2024,Michael Sarnoski,5,2024-07-14
"Dredd",2012,Pete Travis,6,2024-07-08
"Mù zhōng Wúrén",2022,Yáng Bǐng-Jiā,6,2024-06-26
"Furiosa: A Mad Max Saga",2024,George Miller,7,2024-06-25
"Mars Express",2023,Jérémie Périn,7,2024-06-19
"Last Sentinel",2023,Tanel Toom,5,2024-06-16
"Pas de vagues",2024,Teddy Lussi-Modeste,6,2024-06-14
"Mondays: Kono taimurupu look joshi ni kidzuka senai to owaranai",2022,Ryo Takebayashi,6,2024-05-30
"A Slice of Lynch",2007,Charles de Lauzirika,7,2024-05-17
"Civil War",2024,Alex Garland,7,2024-05-12
"Dune: Part Two",2024,Denis Villeneuve,7,2024-04-19
"Sigan",2006,Kim Ki-Duk,NaN,2024-04-27
"Dung che sai duk redux",2008,Wong Kar-Wai,NaN,2024-04-26
"Late Night with the Devil",2024,Cameron Cairnes Colin Cairnes,4,2024-04-25
"Gosford Park",2001,Robert Altman,7,2024-04-17
"Doctor Sleep : Director's Cut",2020,Mike Flanagan,7,2024-04-10
"Road House",2024,Doug Liman,4,2024-04-09
"Soudain seuls",2023,Thomas Bidegain,5,2024-04-07
"Coup de chance",2023,Woody Allen,6,2024-04-01
"Terminator: Genisys",2015,Alan Taylor,7,2015-08-15
"Dai yat lui ying aau him",1980,Tsui Hark,6,2024-02-19
"Terminator 3: Rise of the Machines",2003,Jonathan Mostow,4,2024-03-26
"Caprice",2015,Emmanuel Mouret,5,2024-03-24
"Kimi",2022,Steven Soderbergh,5,2024-03-24
"Hidden Figures",2017,Theodore Melfi,5,2024-03-24
"La Place d'une autre",2022,Aurélia Georges,5,2024-03-18
"Le Bonheur des uns...",2020,Daniel Cohen,7,2024-03-18
"Second Tour",2023,Albert Dupontel,4,2024-03-18
"Le Règne animal",2023,Thomas Cailley,7,2024-03-18
"Midnight Special",2016,Jeff Nichols,7,2024-03-18
"No Hard Feelings",2023,Gene Stupnitsky,6,2024-03-17
"Syk pike",2023,Kristoffer Borgli,6,2024-03-17
"Poor Things",2024,Yórgos Lánthimos,7,2024-03-12
"Dream Scenario",2023,Kristoffer Borgli,7,2024-02-29
"Anyone But You",2023,Will Gluck,6,2024-02-29
"American Fiction",2023,Cord Jefferson,6,2024-02-28
"Une année difficile",2023,Olivier Nakache Eric Toledano,5,2024-02-17
"Feng shen Di yi bu: Zhao Ge feng yun",2023,Wū Ěr-Shàn (Wuershan),7,2024-02-11
"Godzilla Minus One",2023,Takashi Yamazaki,5,2024-01-31
"Chung Hing sam lam",1994,Wong Kar-Wai,8,2024-01-28
"Contagion",2011,Steven Soderbergh,7,2016-01-18
"Chun gwong cha sit",1997,Wong Kar-Wai,7,2024-01-25
"Acide",2023,Just Philippot,5,2024-01-19
"Do lok tin si",1995,Wong Kar-Wai,7,2024-01-17
"The African Queen",1951,John Huston,7,2024-01-06
"Wahou !",2023,Bruno Podalydès,5,2024-01-05
"La sociedad de la nieve",2023,J. A. Bayona,7,2024-01-04
"La Très Très Grande Classe",2022,Frédéric Quiring,4,2024-01-02
"Les Trois Mousquetaires - Milady",2023,Martin Bourboulon,5,2023-12-30
"What Men Want",2019,Adam Shankman,3,2023-12-29
"Perfect Days",2023,Wim Wenders,8,2023-12-18
"Leave the World Behind",2023,Sam Esmail,6,2023-12-11
"Zoey's Extraordinary Christmas",2021,Richard Shepard,7,2023-12-03
"Christmas in the Heartland",2018,Harvey Lowry,4,2023-12-03
"Denchû kozô no bôken",NaN,Shinya Tsukamoto,NaN,2023-12-01
"Yannick",2023,Quentin Dupieux (Mr. Oizo),8,2023-12-01
"Hak bak do",2006,Herman Yau,8,2023-11-27
"Kimitachi wa dô ikiru ka",2023,Hayao Miyazaki,NaN,2023-11-25
"Geomijib",2023,Kim Jee-Woon,6,2023-11-22
"Jericho Ridge",2023,Will Gilbey,6,2023-11-21
"Jeune & Jolie",2013,François Ozon,6,2023-11-20
"Sun lau Ngac lau",2000,Tsui Hark,6,2023-11-19
"The Killer",2023,David Fincher,7,2023-11-15
"Heung gong jai",2014,Pang Ho-Cheung,7,2023-11-06
"Bonne conduite",2023,Jonathan Barré,6,2023-10-31
"Beastie Boys Story",2020,Spike Jonze,7,2023-10-25
"The Creator",2023,Gareth Edwards,5,2023-10-24
"Le Livre des solutions",2023,Michel Gondry,7,2023-10-17
"Groundhog Day",1993,Harold Ramis,NaN,2023-10-10
"Mamma Mia! Here We Go Again",2018,Ol Parker,4,2023-10-14
"Scream VI",2023,Matt Bettinelli-Olpin Tyler Gillett,4,2023-10-09
"Mascarade",2022,Nicolas Bedos,7,2023-10-09
"Renfield",2023,Chris McKay,5,2023-10-09
"Crawl",2019,Alexandre Aja,5,2023-10-14
"Elemental",2023,Peter Sohn,7,2023-10-15
"65",2023,Scott Beck Bryan Woods,4,2023-10-15
"Dou hap",1990,Wong Jing,5,2023-10-07
"Les Chatouilles",2018,Andréa Bescond Eric Métayer,6,2023-10-01
"Un métier sérieux",2023,Thomas Lilti,6,2023-09-30
"Past Lives",2023,Celine Song,7,2023-09-18
"Un plan parfait",2012,Pascal Chaumeil,6,2023-09-17
"La Nuée",2021,Just Philippot,6,2023-09-16
"Sentinelle",2023,Hugo Benamozig David Caviglioli,5,2023-09-16
"Anatomie d'une chute",2023,Justine Triet,7,2023-09-15
"Keiko me wo sumasete",2022,Sho Miyake,7,2023-09-07
"Meg 2: The Trench",2023,Ben Wheatley,3,2023-08-27
"C'est la vie",2021,Julien Rambaldi,5,2023-08-24
"Showgirls",1995,Paul Verhoeven,6,2023-08-21
"2010: The Year We Make Contact",1984,Peter Hyams,6,2023-08-15
"Reality",2023,Tina Satter,5,2023-08-21
"To Live and Die in L.A.",1985,William Friedkin,7,2023-08-20
"Oppenheimer",2023,Christopher Nolan,7,2023-08-15
"Sorcerer",1977,William Friedkin,7,2023-08-10
"The First Slam Dunk",2022,Takehiko Inoue,7,2023-08-07
"Une belle équipe",2020,Mohamed Hamidi,4,2023-07-27
"Pandorum",2009,Christian Alvart,6,2023-07-26
"The Nice Guys",2016,Shane Black,6,2023-07-26
"The Children's Hour",1961,William Wyler,7,2023-07-25
"Mission: Impossible - Dead Reckoning",2023,Christopher McQuarrie,7,2023-07-23
"Michael Jackson's Thriller",1983,John Landis,NaN,1970-01-01
"TÁR",2022,Todd Field,7,2023-07-22
"Rien à foutre",2022,Emmanuel Marre Julie Lecoustre,6,2023-07-22
"Le Parfum vert",2022,Nicolas Pariser,5,2023-07-21
"Little Women",1994,Gillian Armstrong,7,2023-07-20
"Master Gardener",2023,Paul Schrader,6,2023-07-18
"Mon crime",2023,François Ozon,7,2023-07-17
"Un homme heureux",2023,Tristan Séguéla,5,2023-07-15
"Les Petites Victoires",2023,Mélanie Auffret,6,2023-07-14
"Alibi.com 2",2023,Philippe Lacheau,4,2023-07-09
"Asteroid City",2023,Wes Anderson,7,2023-07-05
"Indiana Jones and the Dial of Destiny",2023,James Mangold,6,2023-07-02
"Evil Dead Rise",2023,Lee Cronin,3,2023-06-24
"Tetris",2023,Jon S. Baird,6,2023-06-02
"Dheepan",2015,Jacques Audiard,7,2023-05-29
"Youssef Salem a du succès",2023,Baya Kasmi,6,2023-05-29
"To Catch a Killer",2023,Damián Szifrón,6,2023-05-21
"Tin lung baat bou",2023,Donnie Yen,4,2023-05-17
"Dungeons & Dragons: Honor Among Thieves",2023,John Francis Daley Jonathan Goldstein,6,2023-05-09
"Rambo: Last Blood",2019,Adrian Grunberg,5,2023-05-03
"What Women Want",2000,Nancy Meyers,6,2023-05-02
"Le Jeu",2018,Fred Cavayé,4,2023-05-01
"Wu Xia",2011,Peter Chan Ho-Sun,6,2023-04-25
"John Rambo",2010,Sylvester Stallone,5,2023-04-23
"Rambo III",1988,Peter MacDonald,6,2023-04-23
"Se jie",2007,Ang Lee,7,2023-04-22
"Jumeaux… mais pas trop !",2022,Olivier Ducray Wilfried Méance,4,2023-04-20
"A Bridge Too Far",1977,Richard Attenborough,5,2023-04-17
"Rambo: First Blood Part II",1985,George Pan Cosmatos,6,2023-04-16
"First Blood",1982,Ted Kotcheff,7,2023-04-16
"Creed III",2023,Michael B. Jordan,6,2023-04-15
"Creed II",2018,Steven Caple Jr.,6,2023-04-14
"Creed",2015,Ryan Coogler,6,2023-04-13
"Rocky Balboa",2006,Sylvester Stallone,6,2023-04-12
"Rocky V",1990,John G. Avildsen,6,2023-04-11
"Rocky IV: Rocky vs Drago - The Ultimate Director's Cut",2021,Sylvester Stallone,6,2023-04-11
"Rocky III",1982,Sylvester Stallone,6,2023-04-10
"Fumer fait tousser",2022,Quentin Dupieux (Mr. Oizo),6,2023-04-10
"Under the Silver Lake",2018,David Robert Mitchell,7,2023-04-10
"Tau man ji D",2005,Alan Mak Andrew Lau,6,2023-03-19
"Beverly Hills Cop 3",1994,John Landis,5,2023-01-10
"Incroyable mais vrai",2022,Quentin Dupieux (Mr. Oizo),6,2023-04-09
"The Super Mario Bros. Movie",2023,Aaron Horvath Michael Jelenic,6,2023-04-08
"Enemy of the State",1998,Tony Scott,6,2023-04-04
"Tais-toi !",2003,Francis Veber,5,2023-04-02
"Cannibal Holocaust",1980,Ruggero Deodato,6,2023-04-02
"Ultimo mondo cannibale",1977,Ruggero Deodato,6,2023-04-02
"Zack Snyder's Justice League",2021,Zack Snyder,6,2023-03-31
"Les Trois Mousquetaires - D'Artagnan",2023,Martin Bourboulon,6,2023-03-23
"Basic Instinct",1992,Paul Verhoeven,8,2023-03-23
"Dung fong sam hap",1993,Johnnie To,5,2023-03-19
"The Whale",2022,Darren Aronofsky,7,2023-03-19
"Couleurs de l'incendie",2022,Clovis Cornillac,7,2023-03-18
"Eternals",2021,Chloé Zhao,4,2023-03-10
"L'Innocent",2022,Louis Garrel,5,2023-03-04
"L'Origine du mal",2022,Sébastien Marnier,6,2023-02-27
"Under the Skin",2014,Jonathan Glazer,7,2023-02-22
"Jack Mimoun et les secrets de Val Verde",2022,Ludovic Colbeau-Justin Malik Bentalha,5,2023-03-02
"Le Dernier Voyage",2021,Romain Quirot,4,2023-02-26
"Vesper",2022,Kristina Buozyte Bruno Samper,6,2023-01-26
"Une heure de tranquillité",2014,Patrice Leconte,4,2023-02-05
"As Bestas",2022,Rodrigo Sorogoyen,7,2023-02-28
"Hereditary",2018,Ari Aster,6,2023-02-27
"Plancha",2022,Éric Lavaine,6,2023-02-25
"Revenge",2018,Coralie Fargeat,5,2023-02-18
"Babylon",2022,Damien Chazelle,8,2023-01-18
"The Stepford Wives",1975,Bryan Forbes,6,2023-01-09
"Don't Worry Darling",2022,Olivia Wilde,6,2023-01-09
"Puss in Boots: The Last Wish",2022,Joel Crawford Januel Mercado,6,2023-01-08
"Shimotsuma monogatari",2004,Tetsuya Nakashima,NaN,1970-01-01
"Leave Her to Heaven",1947,John M. Stahl,7,2023-01-06
"Significant Other",2022,Dan Berk Robert Olsen,6,2023-01-06
"The Ghost and Mrs. Muir",1947,Joseph L. Mankiewicz,7,2023-01-05
"Les Cinq Diables",2022,Léa Mysius,5,2023-01-04
"To Be or Not to Be",1942,Ernst Lubitsch,7,2023-01-04
"Heaven Can Wait",1943,Ernst Lubitsch,8,2023-01-03
"Camille redouble",2012,Noémie Lvovsky,6,2022-12-21
"The Bay",2012,Barry Levinson,6,2022-12-25
"Smile",2022,Parker Finn,5,2022-12-20
"Nymphomaniac: Vol. I",2013,Lars von Trier,7,2022-12-16
"Geukhanjikeob",2019,Lee Byeong-Hun,6,2022-12-14
"Mogadishu",2021,Ryoo Seung-Wan,6,2022-12-12
"Armageddon Time",2022,James Gray,7,2022-12-07
"Pretty Woman",1990,Garry Marshall,7,2022-11-28
"Nope",2022,Jordan Peele,5,2022-11-23
"Evan Almighty",2007,Tom Shadyac,3,2022-10-09
"Hellbound: Hellraiser II",1988,Tony Randel,6,2022-10-24
