Title,Year,Directors,Rating10,WatchedDate
"30 jours max",2020,Tarek Boudali,3,2021-04-01
"Daylight",1996,Rob Cohen,4,2021-04-19
"Les Anges gardiens",1995,Jean-Marie Poiré,4,2021-04-17
"Sono otoko kyobo ni tsuki",1989,Takeshi Kitano,7,2021-04-15
"War of the Worlds",2005,Steven Spielberg,5,2021-04-12
"Rocky",1976,John G. Avildsen,8,2021-04-10
"Way Down",2021,Jaume Balagueró,5,2021-04-09
"The Vault",2017,Dan Bush,5,2021-04-09
"Soul",2020,Pete Docter Kemp Powers,7,2021-04-02
"Pearl Harbor",2001,Michael Bay,4,2021-04-05
"Moonrise Kingdom",2012,Wes Anderson,8,2021-03-14
"Sentinelle",2021,Julien Leclercq,3,2021-03-08
"Palm Springs",2020,Max Barbakow,7,2020-09-12
"Eurovision Song Contest: The Story of Fire Saga",2020,David Dobkin,5,2021-03-06
"Bliss",2021,Mike Cahill,4,2021-03-05
"Coming 2 America",2021,Craig Brewer,4,2021-03-05
"I Care a Lot",2021,J Blakeson,6,2021-03-04
"Indiana Jones and the Kingdom of the Crystal Skull",2008,Steven Spielberg,5,2021-03-04
"Indiana Jones and the Temple of Doom",1984,Steven Spielberg,NaN,1970-01-01
"Indiana Jones and the Last Crusade",1989,Steven Spielberg,8,2021-03-02
"Mary Reilly",1996,Stephen Frears,5,2021-02-22
"Sorry Wrong Number",1948,Anatole Litvak,7,2021-02-22
"Première année",2018,Thomas Lilti,8,2018-09-25
"Now You See Me",2013,Louis Leterrier,6,2016-02-02
"Quai d'Orsay",2013,Bertrand Tavernier,7,2021-02-05
"Waiting for the Barbarians",2020,Ciro Guerra,7,2021-01-29
"The Midnight Sky",2020,George Clooney,4,2020-12-27
"Insomnia",2002,Christopher Nolan,6,2020-12-18
"Memento",2000,Christopher Nolan,7,2021-01-30
"Wonder Woman 1984",2020,Patty Jenkins,4,2021-01-13
"Autoreiji: Biyondo",2012,Takeshi Kitano,7,2021-01-25
"Hok hau fung wan",1988,Ringo Lam Raymond Lee Wai-Man Joe Chu Kai-Sang,7,2021-01-29
"Sonatine",1993,Takeshi Kitano,8,2021-01-29
"Kizzu ritân",1996,Takeshi Kitano,8,2021-01-25
"Play",2020,Anthony Marciano,5,2021-01-22
"Jugatsu",1990,Takeshi Kitano,7,2021-01-22
"Les Rois mages",2001,Didier Bourdon Bernard Campan,6,2020-12-28
"Before I Fall",2017,Ry Russo-Young,5,2021-01-15
"Let Me In",2010,Matt Reeves,NaN,1970-01-01
"The Hound of the Baskervilles",1959,Terence Fisher,NaN,1970-01-01
"Panic in Year Zero!",1962,Ray Milland,6,2021-01-11
"Énorme",2020,Sophie Letourneur,7,2021-01-09
"It Happened One Night",1934,Frank Capra,7,2021-01-05
"Rebecca",2020,Ben Wheatley,5,2021-01-04
"About Time",2013,Richard Curtis,8,2021-01-03
"Love Actually",2003,Richard Curtis,8,1970-01-01
"It's a Wonderful Life",1946,Frank Capra,9,2015-12-31
"John Was Trying to Contact Aliens",2020,Matthew Killip,5,2020-12-24
"The Aristocats",1970,Wolfgang Reitherman,7,2020-12-23
"Tenet",2020,Christopher Nolan,8,2020-09-29
"L'As des as",1982,Gérard Oury,6,2020-12-21
"Following",1999,Christopher Nolan,6,2020-12-20
"The Greatest Showman",2017,Michael Gracey,7,2020-12-17
"Star Wars: The Rise of Skywalker",2019,J.J. Abrams,5,2020-12-16
"Star Wars",1977,George Lucas,8,2020-12-15
"Robin Hood: Prince of Thieves",1991,Kevin Reynolds,6,2020-12-13
"Witness",1985,Peter Weir,7,2020-12-12
"Jumanji: The Next Level",2019,Jake Kasdan,6,2020-12-10
"La Fille au bracelet",2020,Stéphane Demoustier,7,2020-12-10
"La Nuit venue",2020,Frédéric Farrucci,7,2020-12-10
"The Man Who Wasn't There",2001,Joel Coen Ethan Coen,NaN,1970-01-01
"Intolerable Cruelty",2003,Joel Coen Ethan Coen,NaN,1970-01-01
"The Bodyguard",1992,Mick Jackson,6,2020-12-06
"Happiest Season",2020,Clea DuVall,6,2020-12-05
"Greenland",2020,Ric Roman Waugh,6,2020-11-27
"Primer",2004,Shane Carruth,7,2020-11-30
"Dreamcatcher",2003,Lawrence Kasdan,4,2020-11-21
"Tout simplement noir",2020,Jean-Pascal Zadi John Wax,5,2020-11-21
"Blackhat",2015,Michael Mann,6,2020-11-17
"Connectés",2020,Romuald Boulanger,4,2020-11-13
"Shazam!",2019,David F. Sandberg,6,2020-11-16
"Avis de mistral",2014,Rose Bosch,5,2019-05-11
"Gongjak",2018,Yoon Jong-Bin,7,2020-11-02
"Terminator : Dark Fate",2019,Tim Miller,5,2020-11-04
"On the Rocks",2020,Sofia Coppola,5,2020-11-08
"Dr. No",1962,Terence Young,6,2020-11-01
"Bando",2020,Yeon Sang-Ho,5,2020-10-31
"Ryûzô to 7 nin no kobun tachi",2015,Takeshi Kitano,6,2020-11-01
"Murder on the Orient Express",2017,Kenneth Branagh,4,2020-10-25
"Yuke yuke nidome no shojo",NaN,Kôji Wakamatsu,NaN,1970-01-01
"Portrait de la jeune fille en feu",2019,Céline Sciamma,6,2020-09-19
"Brutus vs. César",2020,Kheiron,4,2020-09-18
"Mignonnes",2020,Maïmouna Doucouré,8,2020-09-11
"Naam yi boon sik",2007,Benny Chan,6,1970-01-01
"Les Traducteurs",2019,Régis Roinsard,6,2020-08-26
"King Guillaume",2009,Pierre-François Martin-Laval,5,2020-08-06
"Akira",1988,Katsuhiro Ôtomo,9,2020-08-25
"De Gaulle",2020,Gabriel Le Bomin,4,2020-08-21
"Sibyl",2019,Justine Triet,5,2020-08-17
"Hatsukoi",2019,Takashi Miike,7,2020-06-07
"The Call of the Wild",2020,Chris Sanders,5,2020-05-13
"The Gentlemen",2020,Guy Ritchie,6,2020-05-10
"Tout là-haut",2017,Serge Hazanavicius,4,2020-08-08
"The Invisible Man",2020,Leigh Whannell,6,2020-07-05
"'A' gai wak 2",1987,Jackie Chan Chen Chi-Hwa,6,2020-07-02
"Bak fat moh lui zyun",1993,Ronny Yu,7,2020-06-23
"'A' gai wak",1983,Jackie Chan,7,2020-06-21
"Crying Freeman",1995,Christophe Gans,NaN,1970-01-01
"Get Out",2017,Jordan Peele,7,2017-05-21
"Shin Gojira",2016,Hideaki Anno Shinji Higuchi,7,2020-06-06
"Mei ren yu",2016,Stephen Chow Wilson Chin Lam Tze-Chung Lu Zhengyu,6,2020-06-08
"Coyote Ugly",2000,David McNally,4,2020-06-01
"Ai no korîda",1976,Nagisa Ōshima,7,2020-05-31
"Snowden",2016,Oliver Stone,7,2016-12-17
"Chui shao ren",2019,Xuē Xiǎo-Lù,4,2020-05-20
"El hoyo",2019,Galder Gaztelu-Urrutia,6,2020-05-17
"Le Cœur des hommes 2",2007,Marc Esposito,5,2020-05-13
"Togo",2019,Ericson Core,6,2020-05-12
"Meet the Fockers",2004,Jay Roach,5,2020-05-11
"Escape Plan",2013,Mikael Håfström,4,2020-05-11
"Midway",2019,Roland Emmerich,3,2020-05-09
"Shinjitsu",2019,Hirokazu Kore-eda,6,2020-05-08
"Les Misérables",1982,Robert Hossein,6,2020-05-04
"Jojo Rabbit",2019,Taika Waititi,7,2020-05-02
"Knives Out",2019,Rian Johnson,6,2020-05-01
"Les Misérables",1958,Jean-Paul Le Chanois,7,2020-04-28
"Forte",2020,Katia Lewkowicz,5,2020-04-17
"Le Mystère Henri Pick",2019,Rémi Bezançon,6,2020-04-18
"A Simple Favor",2018,Paul Feig,6,2020-04-18
"Premières Vacances",2019,Patrick Cassir,6,2020-04-16
"Nanfang chezhan de juhuì",2019,Diao Yi'nan,7,2020-04-15
"It Comes at Night",2017,Trey Edward Shults,4,2020-04-13
"La nuit a dévoré le monde",2018,Dominique Rocher,5,2020-04-12
"The Hunt",2020,Craig Zobel,5,2020-04-12
"Chung Wah Sin San",2019,Wilson Yip,6,1970-01-01
"Gamgi",2013,Kim Sung-Su,5,2020-04-08
"Vivarium",2020,Lorcan Finnegan,7,2020-04-05
"The Way Back",2020,Gavin O'Connor,5,2020-04-04
"Chung fung dui ji no foh gaai tau",1996,Benny Chan,NaN,1970-01-01
"The Call of Cthulhu",2005,Andrew Leman,NaN,1970-01-01
"Tel Mi Sseomding",1999,Chang Yoon-Hyun,NaN,1970-01-01
"Color Out of Space",2020,Richard Stanley,6,2020-03-30
"Peppermint",2018,Pierre Morel,4,2020-03-28
"Underwater",2020,William Eubank,5,2020-03-28
"Lethal Weapon 3",1992,Richard Donner,7,2020-03-26
"Die Hard with a Vengeance",1995,John McTiernan,8,2020-03-23
"Vice",2018,Adam McKay,5,2020-03-20
"Horrible Bosses 2",2014,Sean Anders,6,2020-03-21
"Pandora",2016,Park Jung-Woo,5,2020-03-18
"Alice et le Maire",2019,Nicolas Pariser,6,2020-03-18
"Yip Man 3",2015,Wilson Yip,6,2020-03-10
"Pacific Rim: Uprising",2018,Steven S. DeKnight,3,2020-03-09
"Dark Waters",2019,Todd Haynes,6,2020-03-08
"Richard Jewell",2019,Clint Eastwood,7,2020-03-07
"Godzilla: King of the Monsters",2019,Michael Dougherty,3,2020-03-03
"Kong: Skull Island",2017,Jordan Vogt-Roberts,5,2017-06-25
"1917",2019,Sam Mendes,8,2020-02-20
"Yeopgijeogin geunyeo",2001,Kwak Jae-Yong,8,2020-02-15
"OSS 117 - Rio ne répond plus...",2009,Michel Hazanavicius,NaN,2020-02-11
"OSS 117 - Le Caire nid d'espions",2006,Michel Hazanavicius,8,2016-09-20
"Last Christmas",2019,Paul Feig,6,2020-01-25
"Horrible Bosses",2011,Seth Gordon,6,2020-01-25
"Edge of Tomorrow",2014,Doug Liman,7,2020-01-20
"Oblivion",2013,Joseph Kosinski,6,2020-01-20
"Les Tontons flingueurs",1963,Georges Lautner,7,2020-01-05
"Un bonheur n'arrive jamais seul",2012,James Huth,4,2020-01-06
"Hors de prix",2006,Pierre Salvadori,6,2020-01-06
"Le Pari",1997,Didier Bourdon Bernard Campan,5,2020-01-07
"Zombieland: Double Tap",2019,Ruben Fleischer,4,2020-01-09
"The Apartment",1960,Billy Wilder,7,2020-01-11
"It Chapter Two",2019,Andy Muschietti,5,2020-01-08
"Tigerland",2000,Joel Schumacher,NaN,1970-01-01
"Universal Soldier",1992,Roland Emmerich,NaN,1970-01-01
"Timecop",1994,Peter Hyams,NaN,1970-01-01
"The Holiday",2006,Nancy Meyers,6,2019-12-08
"Trading Places",1983,John Landis,7,2018-12-23
"The Night Before",2015,Jonathan Levine,6,2016-02-23
"Tôkyô Goddofâzâzu",2003,Satoshi Kon Shôgo Furuya,NaN,1970-01-01
"Santa & Cie",2017,Alain Chabat,9,2019-01-01
"Je voudrais que quelqu'un m'attende quelque part",2020,Arnaud Viard,5,2019-11-26
"Kung Fu Panda",2008,Mark Osborne John Stevenson,4,2019-11-13
"Joker",2019,Todd Phillips,6,2019-11-15
"Tanguy le retour",2019,Étienne Chatiliez,5,2019-11-11
"Unstoppable",2010,Tony Scott,5,2019-11-12
"James and the Giant Peach",1996,Henry Selick,6,2019-11-14
"Forgetting Sarah Marshall",2008,Nicholas Stoller,7,2019-11-05
"Crazy Rich Asians",2018,Jon M. Chu,7,2018-11-11
"Midsommar",2019,Ari Aster,6,2019-11-04
"Dark Phoenix",2019,Simon Kinberg,3,2019-10-12
"Huo Yuanjia",2006,Ronny Yu,NaN,1970-01-01
"Chi bi",2008,John Woo,NaN,1970-01-01
"Chi bi: Jue zhan tian xia",2009,John Woo,NaN,1970-01-01
"Ad Astra",2019,James Gray,7,2019-10-08
"American Pastoral",2016,Ewan McGregor,5,2019-10-05
"Spider-Man: Far From Home",2019,Jon Watts,5,2019-09-15
"Once Upon a Time... in Hollywood",2019,Quentin Tarantino,7,2019-10-01
"John Wick",2014,Chad Stahelski David Leitch,5,2017-08-13
"Le Chant du loup",2019,Antonin Baudry (Abel Lanzac),7,2019-09-21
"Spider-Man: Homecoming",2017,Jon Watts,3,2019-08-29
"On the Beach",1959,Stanley Kramer,7,2019-08-21
"All the Money in the World",2017,Ridley Scott,6,2019-08-18
"Burn After Reading",2008,Joel Coen Ethan Coen,6,2019-08-10
"Brightburn",2019,David Yarovesky,5,2019-08-10
"Always Be My Maybe",2019,Nahnatchka Khan,4,2019-08-09
"Blue Jasmine",2013,Woody Allen,6,2019-08-06
"Regression",2015,Alejandro Amenábar,4,2019-08-05
"The Sea of Trees",2016,Gus Van Sant,7,2019-08-04
"Searching",2018,Aneesh Chaganty,6,2019-08-03
"Chao shi kong tong ju",2018,Su Lun,5,2019-08-03
"Un homme idéal",2015,Yann Gozlan,6,2019-08-02
"Gao hai ba zhi lian II",2012,Johnnie To,5,2019-08-03
"Edmond",2019,Alexis Michalik,7,2019-08-01
"À bout portant",2010,Fred Cavayé,6,1970-01-01
"Épouse-moi mon pote",2017,Tarek Boudali,5,2018-03-11
"Murder Mystery",2019,Kyle Newacheck,4,2019-07-31
"Spies Like Us",1985,John Landis,5,2019-07-30
"Captain Marvel",2019,Anna Boden Ryan Fleck,4,2019-07-24
"Apollo 13",1995,Ron Howard,6,2019-07-24
"Long Shot",2019,Jonathan Levine,5,2019-07-23
"Tolkien",2019,Dome Karukoski,6,2019-07-23
"Ying",2018,Zhāng Yì-Móu,5,2019-07-21
"Noruwei no mori",2011,Trần Anh Hùng,6,2019-07-20
"Alita: Battle Angel",2019,Robert Rodriguez,6,2019-07-09
"Nicky Larson et le Parfum de Cupidon",2019,Philippe Lacheau,3,2019-07-08
"Qu'est-ce qu'on a encore fait au Bon Dieu ?",2019,Philippe de Chauveron,2,2019-07-06
"Des lendemains qui chantent",2014,Nicolas Castro,5,2019-05-31
"Astérix - Le Secret de la potion magique",2018,Louis Clichy Alexandre Astier,7,2019-07-06
"Alceste à bicyclette",2013,Philippe Le Guay,7,2019-06-30
"On a retrouvé la 7ème compagnie",1975,Robert Lamoureux,6,2019-05-26
"Mais où est donc passée la 7ème compagnie...",1973,Robert Lamoureux,6,2019-05-25
"Gisaengchoong",2019,Bong Joon-Ho,8,2019-06-24
"Chung ngon sat luk: O gei",1994,Kirk Wong,NaN,1970-01-01
"L'Enquête corse",2004,Alain Berbérian,6,2019-06-01
"Welcome to Marwen",2018,Robert Zemeckis,5,2019-05-21
"Dalkomhan Insaeng",2005,Kim Jee-Woon,6,2019-05-19
"Glass",2019,M. Night Shyamalan,5,2019-05-21
"Hua li shang ban zu",2015,Johnnie To,7,2019-05-19
"La Vérité si je mens ! 2",2001,Thomas Gilou,5,2019-05-11
"Escape from Alcatraz",1979,Don Siegel,8,2019-05-11
"Le Goût des merveilles",2015,Éric Besnard,4,2019-05-10
"Les Parapluies de Cherbourg",1964,Jacques Demy,7,2019-05-12
"The Passion of the Christ",2004,Mel Gibson,4,2019-04-26
"Le Sens de la fête",2017,Olivier Nakache Eric Toledano,8,2019-01-01
"First Man",2018,Damien Chazelle,6,2019-01-13
"Ami-ami",2018,Victor Saint Macary,5,2019-02-02
"Quatre étoiles",2006,Christian Vincent,4,1970-01-01
"Le Mac",2010,Pascal Bourdiaux,5,2019-05-05
"Liu lang di qiu",2019,Frant Gwo,6,2019-05-05
"Match Point",2005,Woody Allen,8,2019-04-27
"The Jungle Book",2016,Jon Favreau,5,2019-04-21
"Camping",2006,Fabien Onteniente,5,2019-04-12
"La Délicatesse",2011,David Foenkinos Stéphane Foenkinos,8,2019-04-12
"Central Intelligence",2016,Rawson Marshall Thurber,4,2019-04-06
"The Lost World: Jurassic Park",1997,Steven Spielberg,7,2019-03-23
"Isn't It Romantic",2019,Todd Strauss-Schulson,3,2019-03-30
"Les Aventures de Spirou et Fantasio",2018,Alexandre Coffre,4,2019-03-10
"Beverly Hills Cop",1984,Martin Brest,7,2019-03-13
"Coming to America",1988,John Landis,6,2019-03-09
"Bohemian Rhapsody",2018,Bryan Singer,6,2019-03-03
"Au revoir là-haut",2017,Albert Dupontel,6,2019-02-25
"Espèces menacées",2017,Gilles Bourdos,7,2019-02-22
"Dragon Girls",2016,Yves Montmayeur,6,2019-02-20
"Ralph Breaks the Internet",2018,Rich Moore Phil Johnston,4,2019-02-20
"Nie Yinniang",2015,Hou Hsiao-Hsien,9,2015-12-31
"Molly's Game",2017,Aaron Sorkin,6,2019-01-14
"Carnivores",2018,Jérémie Renier Yannick Renier,5,2019-02-18
"Green Book",2018,Peter Farrelly,7,2019-02-17
"La Surface de réparation",2018,Christophe Regin,5,2019-02-16
"Cherchez la femme",2017,Sou Abadi,5,2019-01-03
"A Star Is Born",2018,Bradley Cooper,7,2019-01-27
"Mortal Engines",2018,Christian Rivers,5,2018-12-30
"The Ballad of Buster Scruggs",2018,Joel Coen Ethan Coen,7,1970-01-01
"Despicable Me",2010,Chris Renaud Pierre Coffin,6,2018-12-27
"Battle of the Sexes",2017,Jonathan Dayton Valerie Faris,5,2018-10-18
"Crazy Stupid Love.",2011,Glenn Ficarra John Requa,8,2018-12-23
"The Rocker",2008,Peter Cattaneo,NaN,1970-01-01
"Paper Man",2010,Kieran Mulroney Michele Mulroney,NaN,1970-01-01
"Outland",1981,Peter Hyams,5,2018-12-26
"Aloha",2015,Cameron Crowe,5,2018-12-26
"Barton Fink",1991,Joel Coen Ethan Coen,7,2018-12-26
"Le Prénom : La Pièce de théâtre",2012,Bernard Murat,7,2018-12-25
"L'Affaire Farewell",2009,Christian Carion,6,2018-12-09
"The Princess Switch",2018,Mike Rohl,2,2018-12-23
"Le Redoutable",2017,Michel Hazanavicius,6,2018-12-15
"Long men kezhan",1967,King Hu,8,2018-12-16
"Bird Box",2018,Susanne Bier,6,2018-12-21
"The Predator",2018,Shane Black,3,2018-12-02
"Teoneol",2016,Kim Sung-Hoon,6,2018-12-01
"Good Kill",2015,Andrew Niccol,8,1970-01-01
"The Day After Tomorrow",2004,Roland Emmerich,8,2018-11-25
"Mile 22",2018,Peter Berg,5,2018-11-16
"Skyscraper",2018,Rawson Marshall Thurber,4,2018-11-16
"The Meg",2018,Jon Turteltaub,2,2018-11-15
"Kursk",2018,Thomas Vinterberg,5,2018-11-07
"Volontaire",2018,Hélène Fillières,4,2018-11-01
"Mary Shelley",2018,Haifaa Al-Mansour,5,2018-11-02
"Le Grand Bain",2018,Gilles Lellouche,8,2018-11-01
"Isle of Dogs",2018,Wes Anderson,8,2018-10-31
"We Are X",2016,Stephen Kijak,9,2018-10-24
"Idiocracy",2006,Mike Judge,4,2018-10-19
"Le Brio",2017,Yvan Attal,6,2018-10-10
"Call Me by Your Name",2018,Luca Guadagnino,7,2018-10-09
"Jeux interdits",1952,René Clément,NaN,1970-01-01
"Ferris Bueller's Day Off",1986,John Hughes,8,2018-10-06
"Blade Runner",1982,Ridley Scott,9,2018-10-05
"Papillon",1973,Franklin J. Schaffner,7,2018-09-22
"Jalouse",2017,David Foenkinos Stéphane Foenkinos,6,2018-10-02
"D'après une histoire vraie",2017,Roman Polanski,4,2018-09-14
"BlacKkKlansman",2018,Spike Lee,7,2018-09-21
"Solo - A Star Wars Story",2018,Ron Howard,5,2018-09-13
"Thor: Ragnarok",2017,Taika Waititi,6,2018-09-12
"Fever Pitch",2005,Peter Farrelly Bobby Farrelly,5,2018-09-09
"Ghostbusters",2016,Paul Feig,5,2018-09-10
"The Proposal",2009,Anne Fletcher,5,2018-09-09
"Coexister",2017,Fabrice Eboué,5,2018-08-17
"A Quiet Place",2018,John Krasinski,6,2018-08-12
"Di Renjie zhi Sidatianwang",2018,Tsui Hark,6,2018-08-12
"Gerald's Game",2017,Mike Flanagan,5,2018-08-11
"Nos patriotes",2017,Gabriel Le Bomin,5,2018-08-10
"Mission: Impossible - Fallout",2018,Christopher McQuarrie,6,2018-08-08
"Raffles Hotel",1989,Ryū Murakami,6,2018-08-06
"Death on the Nile",1978,John Guillermin,7,2018-08-05
"S.M.A.R.T. Chase",2017,Charles Martin (XI),4,2018-08-04
"Ready Player One",2018,Steven Spielberg,7,2018-07-31
"Versus",2001,Ryûhei Kitamura,NaN,1970-01-01
"The Shining",1980,Stanley Kubrick,8,2018-06-30
"Topâzu",1992,Ryū Murakami,NaN,1970-01-01
"Tomb Raider",2018,Roar Uthaug,5,2018-07-30
"About a Boy",2002,Chris Weitz Paul Weitz,6,2018-06-16
"Baywatch",2017,Seth Gordon,4,2018-05-04
"L'Amant double",2017,François Ozon,5,2018-05-20
"The Incredible Burt Wonderstone",2013,Don Scardino,4,2018-05-24
"Jumanji: Welcome to the Jungle",2017,Jake Kasdan,5,2018-04-21
"L'Idéal",2016,Frédéric Beigbeder,6,2018-04-25
"Ce qui nous lie",2017,Cédric Klapisch,7,2018-04-28
"Jour J",2017,Reem Kherici,5,2018-04-28
"Jeanne d'Arc",1999,Luc Besson,7,2018-04-07
"REC",2007,Jaume Balagueró Paco Plaza,4,2018-04-01
"Papy fait de la résistance",1983,Jean-Marie Poiré,6,2018-04-01
"Cloverfield",2008,Matt Reeves,6,2018-03-30
"Sous le même toit",2017,Dominique Farrugia,5,2018-03-25
"Cast Away",2000,Robert Zemeckis,7,2018-03-24
"Big",1988,Penny Marshall,5,2018-03-24
"Cyrano de Bergerac",1990,Jean-Paul Rappeneau,7,2018-03-11
"The X Files",1998,Rob Bowman,6,2018-03-20
"Chez nous",2017,Lucas Belvaux,5,2018-02-17
"Gangsterdam",2017,Romain Levy,4,2018-02-18
"Judge Dredd",1995,Danny Cannon,5,2018-02-10
"De battre mon cœur s'est arrêté",2005,Jacques Audiard,8,2018-02-11
"Un héros très discret",1996,Jacques Audiard,8,2018-02-11
"Papa ou Maman 2",2016,Martin Bourboulon,6,2018-01-19
"La Prochaine fois je viserai le cœur",2014,Cédric Anger,5,2018-01-11
"Dagon",2001,Stuart Gordon,NaN,1970-01-01
"Elysium",2013,Neill Blomkamp,5,2017-02-27
"The Wolverine",2013,James Mangold,4,2017-03-09
"Stranger Than Fiction",2006,Marc Forster,6,2017-12-27
"Limitless",2011,Neil Burger,7,2017-10-05
"The Change-Up",2011,David Dobkin,4,2017-10-05
"Event Horizon",1997,Paul W. S. Anderson,4,2017-07-15
"After Earth",2013,M. Night Shyamalan,NaN,1970-01-01
"Lost in Space",1998,Stephen Hopkins,NaN,1970-01-01
"Men Women & Children",2014,Jason Reitman,NaN,1970-01-01
"Yeojaneun namjaui miraeda",2004,Hong Sang-Soo,NaN,1970-01-01
"War for the Planet of the Apes",2017,Matt Reeves,4,2018-01-07
"Brick",2006,Rian Johnson,6,2018-01-06
"Iris",2016,Jalil Lespert,5,2018-01-06
"Peurizeun",2017,Na Hyeon,5,2018-01-05
"The Accountant",2016,Gavin O'Connor,6,2018-01-05
"Raid Dingue",2017,Dany Boon,4,2018-01-05
"I Don't Feel at Home in This World Anymore",2017,Macon Blair,6,2018-01-01
"21",2008,Robert Luketic,5,2017-12-30
"L'Ascension",2017,Ludovic Bernard,5,2017-12-29
"Star Wars: The Last Jedi",2017,Rian Johnson,4,2017-12-29
"Serbuan Maut",2011,Gareth Evans,NaN,1970-01-01
"The Discovery",2017,Charlie McDowell,5,2017-12-26
"Hot Girls Wanted",2015,Jill Bauer Ronna Gradus,5,2017-12-27
"It",2017,Andy Muschietti,6,2017-12-26
"Nanny McPhee and the Big Bang",2010,Susanna White,4,2017-12-25
"Zootopia",2016,Byron Howard Rich Moore Jared Bush,6,2017-12-22
"Toki o kakeru shôjo",2006,Mamoru Hosoda,7,2017-12-26
"Nanny McPhee",2005,Kirk Jones,6,2017-12-25
"Autoreiji",2010,Takeshi Kitano,7,2017-12-19
"Flatliners",2017,Niels Arden Oplev,3,2017-12-15
"The Mountain Between Us",2017,Hany Abu-Assad,6,2017-12-14
"Kimi no na wa.",2016,Makoto Shinkai,8,2017-12-12
"Logan Lucky",2017,Steven Soderbergh,7,2017-12-08
"Hail Caesar!",2016,Ethan Coen Joel Coen,6,2017-12-08
"American Made",2017,Doug Liman,6,2017-12-08
"Valerian and the City of a Thousand Planets",2017,Luc Besson,7,2017-12-07
"Gifted",2017,Marc Webb,6,2017-12-06
"Wind River",2017,Taylor Sheridan,7,2017-12-04
"Why Him?",2016,John Hamburg,5,2017-12-01
"Brice 3",2016,James Huth,5,2017-12-01
"Demain tout commence",2016,Hugo Gélin,5,2017-12-01
"King Arthur: Legend of the Sword",2017,Guy Ritchie,6,2017-05-28
"Juste la fin du monde",2016,Xavier Dolan,7,2017-10-08
"The Beguiled",2017,Sofia Coppola,6,2017-11-11
"The Amityville Horror",2005,Andrew Douglas,4,2017-11-06
"The Bridge on the River Kwai",1957,David Lean,7,2017-03-27
"Sully",2016,Clint Eastwood,7,2017-10-24
"War Dogs",2016,Todd Phillips,6,2017-10-09
"Blade Runner 2049",2017,Denis Villeneuve,7,2017-10-09
"12 Years a Slave",2013,Steve McQueen,7,2017-10-08
"Un petit boulot",2016,Pascal Chaumeil,6,2017-10-06
"Ben-Hur",2016,Timur Bekmambetov,4,2017-10-05
"What Happened to Monday",2017,Tommy Wirkola,5,2017-09-08
"The Girl with All the Gifts",2016,Colm McCarthy,5,2017-09-09
"Bridget Jones's Baby",2016,Sharon Maguire,5,2017-09-10
"Mother!",2017,Darren Aronofsky,8,2017-09-13
"Nocturnal Animals",2016,Tom Ford,7,2017-09-24
"Suicide Squad",2016,David Ayer,4,2017-09-07
"Baby Driver",2017,Edgar Wright,6,2017-10-02
"Radin !",2016,Fred Cavayé,3,2017-09-03
"Médecin de campagne",2016,Thomas Lilti,5,2017-08-26
"Billy Lynn's Long Halftime Walk",2016,Ang Lee,6,2017-08-13
"Highlander",1986,Russell Mulcahy,8,2017-07-30
"Alibi.com",2017,Philippe Lacheau,6,2017-08-12
"13 Hours: The Secret Soldiers of Benghazi",2016,Michael Bay,6,2017-07-29
"The Quiet Ones",2014,John Pogue,4,2017-07-30
"Vacation",2015,John Francis Daley Jonathan Goldstein,5,2017-07-30
"Neighbors 2: Sorority Rising",2016,Nicholas Stoller,5,2017-08-02
"Star Trek Beyond",2016,Justin Lin,6,2017-07-21
"Gibraltar",2013,Julien Leclercq,5,2017-07-23
"Dunkirk",2017,Christopher Nolan,8,2017-07-19
"I Love You Beth Cooper",2009,Chris Columbus,NaN,1970-01-01
"Zoku Miyamoto Musashi: Ichijoji no ketto",1955,Hiroshi Inagaki,7,2017-07-11
"Éternité",2016,Trần Anh Hùng,5,2017-07-11
"L'Été meurtrier",1983,Jean Becker,NaN,1970-01-01
"Le Grand Chemin",1987,Jean-Loup Hubert,NaN,1970-01-01
"Split",2016,M. Night Shyamalan,7,2017-07-10
"Chûgoku no chôjin",1998,Takashi Miike,NaN,1970-01-01
"Silence",2017,Martin Scorsese,8,2017-07-09
"Katakuri-ke no kôfuku",2001,Takashi Miike,NaN,1970-01-01
"Los Sin nombre",2000,Jaume Balagueró,NaN,1970-01-01
"Mute Witness",1995,Anthony Waller,NaN,1970-01-01
"The Hidden",1987,Jack Sholder,NaN,1970-01-01
"The Horribly Slow Murderer with the Extremely Inefficient Weapon",2008,Richard Gale,NaN,1970-01-01
"Juillet-Août",2016,Diastème,5,1970-01-01
"Le Correspondant",2016,Jean-Michel Ben Soussan,3,2017-07-05
"Ils sont partout",2016,Yvan Attal,4,2017-06-23
"Débarquement immédiat !",2016,Philippe de Chauveron,5,2017-06-23
"Wonder Woman",2017,Patty Jenkins,6,2017-06-24
"Miyamoto Musashi",1954,Hiroshi Inagaki,7,2017-07-03
"Pride & Prejudice & Zombies",2016,Burr Steers,6,2017-07-02
"Maggie",2015,Henry Hobson,5,2017-07-02
"Elle",2016,Paul Verhoeven,7,2017-07-01
"Rock'n Roll",2017,Guillaume Canet,6,2017-06-30
"Orca",1977,Michael Anderson,NaN,1970-01-01
"Alien³",1992,David Fincher,6,2017-06-02
"Paul",2011,Greg Mottola,5,2017-06-15
"Kaze tachinu",2013,Hayao Miyazaki,8,2017-06-12
