title,year,film_url,user_rating,annotation
Les Dents de la mer 3,1983,https://www.senscritique.com/film/les_dents_de_la_mer_3/374723,3/10,Grosse soirée de cinéma!!
Contagion,2011,https://www.senscritique.com/film/contagion/461160,7/10,Film choral prenant et distrayant. Chaque personnage aurait pu faire l'objet d'un film et le scénario aurait pu être un peu plus dense.
Alerte !,1995,https://www.senscritique.com/film/alerte/410471,6/10,
Phénomènes,2008,https://www.senscritique.com/film/phenomenes/365982,5/10,Surprise que de retomber par hasard sur ce film.
Ted,2012,https://www.senscritique.com/film/ted/435443,6/10,Je me demande quand même si c'est l'ours en peluche qui est le mieux fait ou Mila Kunis...
Insaisissables,2013,https://www.senscritique.com/film/insaisissables/482339,6/10,Réalisme 0
Fiston,2014,https://www.senscritique.com/film/fiston/8829241,6/10,Alice :coeuraveclesdoigts:
58 minutes pour vivre,1990,https://www.senscritique.com/film/58_minutes_pour_vivre/385373,3/10,Grosse soirée de cinéma!!
The Bling Ring,2013,https://www.senscritique.com/film/the_bling_ring/393350,7/10,
Le Jour le plus long,1962,https://www.senscritique.com/film/le_jour_le_plus_long/475097,7/10,"Vieillit très bien. John Wayne et Robert Mitchum en généraux proche de leurs hommes sont vraiment au dessus du lot, dommage qu'on les voit si peu."
Comment c'est loin,2015,https://www.senscritique.com/film/comment_c_est_loin/15396384,7/10,Revu le 11/05 après le passage des Casseurs Flowters chez Ruquier. Mon coup de cœur de 2016?
Piège de cristal,1988,https://www.senscritique.com/film/piege_de_cristal/402035,8/10,"Un classique! Un actioner! Un feel good movie (oui oui)! Ce film c'est comme le bon vin, il se bonifie avec le temps."
Rush Hour 2,2001,https://www.senscritique.com/film/rush_hour_2/428654,6/10,Un duo comique qui fonctionne bien pour une comédie distrayante que vieillit plutôt bien.
Kick-Ass 2,2013,https://www.senscritique.com/film/kick_ass_2/396891,7/10,
World War Z,2013,https://www.senscritique.com/film/world_war_z/427367,7/10,
Goal - Naissance d'un prodige,2005,https://www.senscritique.com/film/goal_naissance_d_un_prodige/386510,6/10,
Paris à tout prix,2013,https://www.senscritique.com/film/paris_a_tout_prix/8269228,6/10,"Ben ouais, j'aime bien ce film! C'est pleins de clichés mais ça me fait toujours rire."
Joséphine,2013,https://www.senscritique.com/film/josephine/8844499,3/10,"Je reste sur la très mauvaise impression du premier visionnage. Alors je veux bien que ""Joséphine"" ça soit caricaturale pour croquer la société. Mais la c'est trop pour moi."
L'Exorciste,1973,https://www.senscritique.com/film/l_exorciste/458754,7/10,
Intouchables,2011,https://www.senscritique.com/film/intouchables/460131,8/10,
S.O.S. Fantômes,1984,https://www.senscritique.com/film/s_o_s_fantomes/472236,7/10,
Lolo,2015,https://www.senscritique.com/film/lolo/11857937,6/10,
Mission: Impossible - Rogue Nation,2015,https://www.senscritique.com/film/mission_impossible_rogue_nation/8349536,6/10,
"OSS 117 - Le Caire, nid d'espions",2006,https://www.senscritique.com/film/oss_117_le_caire_nid_d_espions/389335,8/10,
Capitaine Phillips,2013,https://www.senscritique.com/film/capitaine_phillips/368526,7/10,
Le Journal de Bridget Jones,2001,https://www.senscritique.com/film/le_journal_de_bridget_jones/484456,3/10,Grosse soirée de cinéma!!
Seul sur Mars,2015,https://www.senscritique.com/film/seul_sur_mars/11387996,7/10,
Bridget Jones : L'Âge de raison,2004,https://www.senscritique.com/film/bridget_jones_l_age_de_raison/392175,5/10,
Retour vers le futur 2,1989,https://www.senscritique.com/film/retour_vers_le_futur_2/406027,8/10,
American Boys,1999,https://www.senscritique.com/film/american_boys/480235,3/10,Grosse soirée de cinéma!!
Une bataille après l'autre,,https://www.senscritique.com/film/une_bataille_apres_l_autre/72691307,,
Avatar - De Feu et de Cendres,,https://www.senscritique.com/film/avatar_de_feu_et_de_cendres/402589,,
Les Goonies,1985,https://www.senscritique.com/film/les_goonies/487580,8/10,
La vie est belle,1946,https://www.senscritique.com/film/la_vie_est_belle/434210,9/10,
Love Actually,2003,https://www.senscritique.com/film/love_actually/370362,8/10,
The Brass Teapot,2013,https://www.senscritique.com/film/the_brass_teapot/8412082,6/10,
