film_id,tmdb_id,title,year,path,import_nas_id,raw_director,directors_db,reason
605,76257,Tout sur Ah Long,1989,/volume1/Media/Films/All About Ah Long (1080p Vosta)/All.About.Ah.Long.1989.1080p.BluRay.x264-aBD.mkv,1007,Johnnie To,杜琪峰,DIRECTOR_MISMATCH
608,486898,Un grand voyage vers la nuit,2018,/volume1/Media/Films/Un grand voyage vers la nuit (1080p Vostfr)/long.days.journey.into.night.2018.1080p.bluray.x264-usury.mkv,1010,Bi Gan,毕赣,DIRECTOR_MISMATCH
617,487786,Une pluie sans fin,2017,/volume1/Media/Films/Une Pluie sans fin (1080p Multi)/The.Looming.Storm.2017.MULTI.1080p.BluRay.x264-UTT.mkv,1019,Dong Yue,董越,DIRECTOR_MISMATCH
625,118379,Viva Erotica,1996,/volume1/Media/Films/Viva Erotica (1080p Vostfr)/Se.qing.nan.nu.AKA.Viva.Erotica.1996.1080p.BluRay.x264-HANDJOB.mkv,1027,Derek Yee,爾冬陞 | 羅志良,DIRECTOR_MISMATCH
628,123797,低俗喜劇,2012,/volume1/Media/Films/Edmond Pang/Vulgaria (1080p Vosta)/Vulgaria.2012.CHINESE.1080p.BluRay.x264.DTS-FGT.mkv,1030,Edmond Pang,彭浩翔,DIRECTOR_MISMATCH
641,143156,侠女传奇,1992,/volume1/Media/Films/Zen of Sword (DVDRip Vostfr)/Zen of Sword 1992 Extendido.mkv,1043,Yu Mang-Sang,餘明生,DIRECTOR_MISMATCH
643,110410,Drug War,2012,/volume1/Media/Films/Johnnie To/Drug War (1080p Vostfr)/Drug.War.2012.1080p.BluRay.x264-ROVERS.mkv,749,Johnnie To,杜琪峰,DIRECTOR_MISMATCH
645,45871,The Mission,1999,/volume1/Media/Films/The Mission (1080p Multi HEVC)/The.Mission.1999.(Cheung.Foh).MULTI.1080p.x265.10bit.AAC-Break.mkv,992,Johnnie To,杜琪峰,DIRECTOR_MISMATCH
646,622832,吹哨人,2019,/volume1/Media/Films/The Whistleblower (1080p Vostfr)/The.Whistleblower.2020.1080p.WEB-DL.H264.AC3-EVO.mkv,998,Xue Xiaolu,薛晓路,DIRECTOR_MISMATCH
647,25648,Time,2006,/volume1/Media/Films/Time (DVDRip Vostfr)/Time.avi,1001,Kim Ki-duk,김기덕,DIRECTOR_MISMATCH
